M,M_abs,E_Ising,E_defrag,E_total,E_bind,n_walls,var_M,Phi_max,Phi_var,sweep
0.58447265625,0.58447265625,-2876.0,877.6252519781899,-1998.37474802181,-877.6252519781899,1220,0.6583917140960693,7.8494739501566215,7.587167345022468,0
-0.00048828125,0.00048828125,-7924.0,174888.0873750174,166964.0873750174,-174888.0873750174,128,0.9999996423721313,128.11774102440293,8743.302420924285,100
-0.0009765625,0.0009765625,-7896.0,174811.34969181198,166915.34969181198,-174811.34969181198,128,0.9999990463256836,128.04706458520025,8739.963522366008,200
-0.001953125,0.001953125,-7896.0,174812.2751112259,166916.2751112259,-174812.2751112259,128,0.9999961853027344,128.0844249176819,8739.98730556446,300
-0.0009765625,0.0009765625,-7904.0,174840.70563853864,166936.70563853864,-174840.70563853867,128,0.9999990463256836,128.02084005728457,8741.281354863928,400
-0.00048828125,0.00048828125,-7848.0,174700.8436334458,166852.8436334458,-174700.8436334458,128,0.9999996423721313,127.93886313473361,8735.268180641862,500
-0.0009765625,0.0009765625,-7884.0,174780.77151936386,166896.77151936386,-174780.77151936386,128,0.9999990463256836,128.03293953353193,8738.64356121487,600
0.0,0.0,-7888.0,174781.03438956832,166893.03438956832,-174781.03438956832,129,1.0,127.95513307634337,8738.638665797876,700
0.00048828125,0.00048828125,-7852.0,174702.6534829401,166850.6534829401,-174702.65348294008,128,0.9999996423721313,127.97083454488786,8735.292217492493,800
0.00146484375,0.00146484375,-7896.0,174797.51091183448,166901.51091183448,-174797.51091183443,129,0.9999977350234985,128.13612192896355,8739.322685354035,900
-0.0009765625,0.0009765625,-7876.0,174750.02599150466,166874.02599150466,-174750.02599150466,128,0.9999990463256836,127.99350289279133,8737.279416670845,1000
