step,time,max_rho,core_sep,x1,y1,x2,y2
0,0.000000,9.92193061e-03,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
50,0.500000,9.62133545e-03,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
100,1.000000,8.91513257e-03,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
150,1.500000,8.22437012e-03,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
200,2.000000,8.00927864e-03,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
250,2.500000,8.55248368e-03,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
300,3.000000,9.85092634e-03,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
350,3.500000,1.16671187e-02,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
400,4.000000,1.36981110e-02,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
450,4.500000,1.57618108e-02,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
500,5.000000,1.79010919e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
550,5.500000,2.03594566e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
600,6.000000,2.34615355e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
650,6.500000,2.74913479e-02,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
700,7.000000,3.26541025e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
750,7.500000,3.91341338e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
800,8.000000,4.71829196e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
850,8.500000,5.71517785e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
900,9.000000,6.94324262e-02,2.60000000e+01,45.000000,32.000000,19.000000,32.000000
950,9.500000,8.43281502e-02,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
1000,10.000000,1.01881137e-01,2.60000000e+01,19.000000,32.000000,45.000000,32.000000
