frame_index,time,global_id,x,y,radius,mass,peak_rho,mean_rho,area,n_pixels
1060,5.3,0,17.375,7.375,2.229069312515876,16.992844932601948,2.428564475899996,2.1241056165752434,8.0,8
2000,10.0,0,89.25,114.5,1.299038105676658,26.301637749423563,3.9923483130880495,3.2877047186779453,8.0,8
2020,10.1,0,89.25,114.5,1.299038105676658,27.020672515339225,4.016038272357276,3.377584064417403,8.0,8
2040,10.200000000000001,1,17.22222222222222,4.111111111111111,1.2668615834434866,31.78967093122732,4.42623750950696,3.5321856590252576,9.0,9
2060,10.3,1,17.0,4.0,1.4142135623730951,35.56660962594364,4.649583809788085,3.556660962594364,10.0,10
2060,10.3,2,88.77777777777777,114.66666666666667,1.4740554623801778,31.340513403666705,4.1941716116119725,3.4822792670740785,9.0,9
2080,10.4,1,16.818181818181817,4.090909090909091,1.4937887931959077,39.944969676238046,4.425118883481092,3.631360879658004,11.0,11
2080,10.4,2,88.63636363636364,114.63636363636364,1.3846860192479833,38.00041657836368,4.031722187328168,3.454583325305789,11.0,11
2100,10.5,1,16.818181818181817,4.090909090909091,1.4937887931959077,41.471686675364495,4.493074789946858,3.770153334124045,11.0,11
2100,10.5,2,88.63636363636364,114.63636363636364,1.3846860192479833,39.550709037572624,4.548792179266791,3.595519003415693,11.0,11
2120,10.6,1,16.818181818181817,4.090909090909091,1.4937887931959077,42.3859940615033,4.35878598569401,3.8532721874093907,11.0,11
2120,10.6,2,88.63636363636364,114.63636363636364,1.3846860192479833,40.743031032823005,4.509529722548548,3.7039119120748185,11.0,11
2140,10.700000000000001,1,16.818181818181817,4.090909090909091,1.4937887931959077,42.565049111223935,4.622148565618804,3.869549919202176,11.0,11
2140,10.700000000000001,2,88.75,114.5,1.4505745987941008,44.27462622776005,4.754780334673238,3.689552185646671,12.0,12
2160,10.8,1,16.6,4.466666666666667,1.8499249234015476,54.83490065355588,4.668861384440935,3.655660043570392,15.0,15
2160,10.8,2,88.46153846153847,114.76923076923077,1.5073783032511865,48.072891404053316,4.973867469433609,3.6979147233887164,13.0,13
2180,10.9,1,16.615384615384617,4.6923076923076925,1.7941390445677847,50.426740642089655,5.035843403835966,3.878980049391512,13.0,13
2180,10.9,2,88.53846153846153,114.6923076923077,1.5689290811054724,49.55217402351289,5.041155766579483,3.8117056941163763,13.0,13
2200,11.0,1,16.785714285714285,4.785714285714286,1.8653664081715136,54.71662361392299,5.72805544575854,3.9083302581373567,14.0,14
2200,11.0,2,88.3076923076923,114.46153846153847,1.5689290811054724,51.95020386857394,5.957826356848174,3.9961695283518415,13.0,13
2200,11.0,3,105.55555555555556,101.33333333333333,1.257078722109418,32.33575748488504,4.1584106481574175,3.592861942765005,9.0,9
2200,11.0,4,75.25,110.75,1.620185174601965,26.191628222217233,3.981609588900863,3.273953527777154,8.0,8
2200,11.0,5,57.5,117.5,1.2247448713915892,33.85037423046672,5.39384164969251,4.23129677880834,8.0,8
2220,11.1,1,16.6,4.8,1.9321835661585918,57.70673323403261,5.390402655552003,3.8471155489355073,15.0,15
2220,11.1,2,88.1,114.4,1.3892443989449805,46.42288963728189,7.1563707148883235,4.642288963728189,10.0,10
2220,11.1,3,105.55555555555556,101.33333333333333,1.257078722109418,33.508627513984095,4.142380246675597,3.723180834887122,9.0,9
2220,11.1,5,57.666666666666664,117.22222222222223,1.4740554623801776,37.51767787776184,5.635434787292078,4.168630875306871,9.0,9
2240,11.200000000000001,1,16.642857142857142,5.214285714285714,1.7641555764612098,53.512142555722335,4.659967606314993,3.8222958968373097,14.0,14
2240,11.200000000000001,2,88.625,114.75,1.2930100540985752,40.71738491769419,6.923531826250649,5.089673114711774,8.0,8
2240,11.200000000000001,3,105.55555555555556,101.33333333333333,1.257078722109418,34.5684079330177,4.236287742811786,3.840934214779745,9.0,9
2240,11.200000000000001,5,57.888888888888886,116.88888888888889,1.5555555555555558,37.83099339213564,5.825211272539646,4.203443710237293,9.0,9
2240,11.200000000000001,6,72.75,42.375,1.6345871038277526,25.803148780779072,3.6386063048732393,3.225393597597384,8.0,8
2240,11.200000000000001,7,33.875,83.875,1.3110110602126894,27.769507152104733,4.0771077790569334,3.4711883940130916,8.0,8
2260,11.3,1,16.307692307692307,5.076923076923077,1.790837957972741,50.991596654521736,4.616944448843111,3.9224305118862874,13.0,13
2260,11.3,2,88.26666666666667,113.86666666666666,2.231093404090868,62.872056853077844,7.173299350384028,4.191470456871857,15.0,15
2260,11.3,3,105.55555555555556,101.33333333333333,1.257078722109418,35.48177438000499,5.096169805997886,3.9424193755561103,9.0,9
2260,11.3,6,72.7,42.5,1.630950643030009,32.81689723811507,3.733784541495634,3.281689723811507,10.0,10
2260,11.3,7,33.77777777777778,84.0,1.314684396244359,31.678498644286968,4.178912607759997,3.519833182698552,9.0,9
2260,11.3,8,55.375,82.125,1.5309310892394863,25.124726885775786,3.5659562344132207,3.1405908607219732,8.0,8
2280,11.4,1,16.5,5.071428571428571,1.8598880808987908,53.62138399483606,4.722601961071836,3.830098856774004,14.0,14
2280,11.4,2,89.0,114.84615384615384,1.5613679330911105,54.77282486310635,6.985800190934538,4.21329422023895,13.0,13
2280,11.4,3,105.55555555555556,101.33333333333333,1.257078722109418,36.198125179029745,5.325073297001476,4.022013908781083,9.0,9
2280,11.4,6,72.54545454545455,42.72727272727273,1.443137078762504,37.718559766507354,3.8602460730552064,3.428959978773396,11.0,11
2280,11.4,7,33.77777777777778,84.0,1.314684396244359,32.36232685135979,4.226530779676257,3.595814094595532,9.0,9
