time,E_tot
0.0,0.5466355724051923
1.0,1.4439592838917665
2.0,1.6244232912667769
3.0,1.4192202264607026
4.0,1.5363577369527759
5.0,1.3635803780857016
6.0,1.2940965629586805
7.0,1.3485500832695858
8.0,1.2737676216058997
9.0,1.3317486113670252
10.0,1.3841483392236062
11.0,1.357330163427861
12.0,1.4276386764021427
13.0,1.411388992543543
14.0,1.3656420150604536
15.0,1.3941387959552478
16.0,1.3478083631705045
17.0,1.3259398863623386
18.0,1.35590444364725
19.0,1.3305630550487542
20.0,1.360393595656511
21.0,1.3972996695189632
22.0,1.3838595802487474
23.0,1.39572216906955
24.0,1.3825142762736435
25.0,1.3545709143776867
26.0,1.3672170801126218
27.0,1.3439838387064318
28.0,1.3401116330132905
29.0,1.362638172406112
30.0,1.3614985728347693
31.0,1.378594865898879
32.0,1.3989630803784558
33.0,1.3701050471763463
34.0,1.381965071375275
35.0,1.368390692459968
36.0,1.341858657366157
37.0,1.3536991524907425
38.0,1.3550037084329967
39.0,1.3657491693023427
40.0,1.3767592161769358
41.0,1.3691579636101117
42.0,1.3802052044666064
43.0,1.3838445196414964
44.0,1.3577605433715911
45.0,1.3621562381671448
46.0,1.3687532589385256
47.0,1.3478940022490198
48.0,1.3694899108093253
49.0,1.3667712890563735
50.0,1.361318278194866
51.0,1.3797050270343796
52.0,1.3658206348576734
53.0,1.3764200381140081
54.0,1.3732296169200633
55.0,1.3556354068232737
56.0,1.3640888446014672
57.0,1.369011457860735
58.0,1.356902391801906
59.0,1.36798268938667
60.0,1.3743686182559136
61.0,1.366063850271871
62.0,1.3639744481710694
63.0,1.3636573337186704
64.0,1.3727420483120023
65.0,1.377855766725523
66.0,1.3615437551471306
67.0,1.3690718003644111
68.0,1.3642316334158437
69.0,1.3592384009200558
70.0,1.3628805588738246
71.0,1.3608362994780512
72.0,1.3695977580460788
73.0,1.375595864745633
74.0,1.3718285940643882
75.0,1.3785786012366446
76.0,1.3719438439970884
77.0,1.3511742732241399
78.0,1.3601780181212726
79.0,1.3590408455948026
80.0,1.3566926096637681
81.0,1.3826035650409045
82.0,1.3722824153433162
83.0,1.3715440970385226
84.0,1.368170034834705
85.0,1.3657171067237686
86.0,1.3727530138702484
87.0,1.3628346684923889
88.0,1.3578977146102633
89.0,1.3576686371797584
90.0,1.364150219651255
91.0,1.3725388986273792
92.0,1.3772458103672
93.0,1.372147498714868
94.0,1.3673727234323731
95.0,1.3614788253673114
96.0,1.3688235027895952
97.0,1.3656737220391055
98.0,1.3666220530647173
99.0,1.3620750945244384
100.0,1.3563676003804224
