E_substrate,E_defrag,E_total,participation_ratio,max_rho,var_rho,norm,step,time
2337.9809140968355,-60.50077484303144,2292.605332964562,0.00022616985185265064,1.8086094542638957,0.04210272734672495,4171.80013266368,0,0.0
2316.825301530757,-32.444167294505704,2292.4921760598777,0.00022620130548796992,1.7829300380620983,0.041952627213199985,4171.80013266368,100,0.5
2327.145702060803,-45.0242719187014,2293.377498121777,0.000225612409232019,1.8205465219368142,0.044769847161755104,4171.8001326636795,200,1.0
2331.9672114036957,-50.09326861643821,2294.397259941367,0.00022516461119159018,1.8985363980345078,0.046921930690078245,4171.800132663683,300,1.5
2325.7165486278636,-39.718670693055095,2295.9275456080723,0.00022420228266410055,2.049477542600891,0.05157589714151552,4171.8001326636795,400,2.0
2344.237216106546,-63.71717096033192,2296.449337886297,0.00022375928149329308,2.0703185090432634,0.053731773436708805,4171.800132663682,500,2.5
2341.0766712893965,-56.17570900016591,2298.944889539272,0.00022236590294141866,2.065371352100263,0.060568684336116146,4171.800132663679,600,3.0
2353.82990048827,-68.51027368381433,2302.4471952254094,0.00022056610391520408,2.276479633696583,0.06952763403783034,4171.800132663679,700,3.5
2372.8992165903173,-89.17964679307329,2306.0144814955124,0.0002185752364819048,2.2964330437023555,0.07960954054292672,4171.800132663679,800,4.0
2382.984849905213,-93.70588568450418,2312.7054356418353,0.00021539890539362384,2.4194559265869793,0.09608059368429382,4171.800132663688,900,4.5
2420.735875467227,-131.182531199962,2322.3489770672554,0.0002110171287353781,2.706151205906151,0.1196164003663668,4171.800132663682,1000,5.0
