time,a0_re,a0_im,ak_re,ak_im,ak_abs
0.0,0.9993750976494686,-6.938893903907228e-18,-1.1121504951540197e-16,0.024992188313759628,0.024992188313759628
0.05,0.9990628085490076,-0.024981800884822877,-0.0006240703946171306,0.02498439538999549,0.02499218831677341
0.1,0.9981261286491173,-0.04994814411093891,-0.0012477496596374395,0.024961021611890916,0.024992188362014455
0.15,0.9965656200854127,-0.07488358041992776,-0.0018706469269471984,0.02492208195577683,0.024992188558342666
0.2,0.9943822195208174,-0.09977267735596228,-0.0024923718511673143,0.02486760137143018,0.024992189088050037
0.25,0.9915772378001204,-0.12460002767211459,-0.003112534870443013,0.02479761476591291,0.024992190208109923
0.3,0.9881523594647655,-0.14935025774255803,-0.0037307474665417076,0.024712166980952056,0.02499219225185267
0.35000000000000003,0.9841096421263038,-0.17400803598243753,-0.00434662242403013,0.024611312763863153,0.024992195630991986
0.4,0.9794515156965088,-0.1985580812770197,-0.004959774088303244,0.024495116732024202,0.02499220083791134
0.45,0.974180781471732,-0.2229851714215293,-0.005569818622241374,0.024363653330905732,0.024992208448098793
0.5,0.9683006110686813,-0.24727415157284013,-0.0061763742612707855,0.024217006785667884,0.024992219122606393
0.55,0.9618145452084307,-0.2714099427139125,-0.006779061566610381,0.024055271046332278,0.02499223361039197
0.6,0.9547264923451004,-0.2953775501315531,-0.007377503676486522,0.02387854972654424,0.024992252750394833
0.65,0.9470407271353338,-0.3191620719077376,-0.007971326555103056,0.023686956035937814,0.024992277473182434
0.7000000000000001,0.9387618887443884,-0.34274870742434943,-0.008560159239158907,0.023480612706122707,0.02499230880200324
0.75,0.9298949789843693,-0.3661227658807903,-0.009143634081708001,0.023259651910311836,0.024992347853073853
0.8,0.9204453602799356,-0.3892696748234851,-0.00972138699316083,0.0230242151766132,0.024992395834929113
0.85,0.910418753456565,-0.41217498868584734,-0.010293057679234385,0.022774453295012043,0.02499245404666638
0.9,0.8998212353463199,-0.43482439733679334,-0.010858289875659878,0.022510526218073625,0.024992523874919834
0.9500000000000001,0.8886592362059229,-0.4572037346353986,-0.011416731579464505,0.02223260295539912,0.02499260678940802
1.0,0.8769395369418663,-0.4792989869887799,-0.01196803527664888,0.02194086146187324,0.024992704336910525
1.05,0.8646692661372248,-0.5010963019097573,-0.012511858166089351,0.021635488519746355,0.024992818133544148
1.1,0.851855896874848,-0.5225819965703258,-0.013047862379497698,0.021316679614594897,0.02499294985522111
1.1500000000000001,0.838507243351641,-0.5437425663464157,-0.013575715197281036,0.02098463880521724,0.024993101226200732
1.2,0.8246314572787324,-0.5645646933488874,-0.014095089260148493,0.020639578587516038,0.02499327400565608
1.25,0.810237024062444,-0.5850352549351592,-0.014605662776319805,0.020281719752434275,0.024993469972211874
1.3,0.7953327587611652,-0.6051413321953316,-0.015107119724197796,0.019911291238012014,0.024993690906430367
1.35,0.7799278018134395,-0.6248702184061391,-0.015599150050372379,0.01952852997563792,0.02499393857125006
1.4000000000000001,0.7640316145328327,-0.6442094274455387,-0.016081449862834957,0.019133680730577307,0.024994214690414657
1.45,0.7476539743654623,-0.6631467021602465,-0.01655372161928329,0.018726995936863517,0.024994520924955327
1.5,0.730804969906405,-0.6816700226780369,-0.017015674310410695,0.018308735526647284,0.024994858847824823
1.55,0.7134949956715834,-0.6997676146561513,-0.017467023638076173,0.017879166754105315,0.024995229916810458
1.6,0.6957347466221753,-0.7174279574567315,-0.0179074921882613,0.017438564014015334,0.02499563544588435
1.6500000000000001,0.6775352124390309,-0.7346397922397615,-0.01833680959872752,0.016987208655114085,0.024996076575182123
1.7,0.6589076715450973,-0.7513921299636249,-0.01875471272129351,0.016525388788360146,0.024996554239828897
1.75,0.6398636848743805,-0.7676742592830312,-0.019160945778658713,0.016053399090231586,0.02499706913785989
1.8,0.6204150893865307,-0.7834757543337387,-0.019555260515709882,0.015571540601196882,0.024997621697513645
1.85,0.6005739913267469,-0.798786482393235,-0.01993741634524896,0.015080120519502286,0.02499821204419457
1.9000000000000001,0.5803527592312974,-0.8135966114062804,-0.02030718048809192,0.014579451990429648,0.02499883996743017
1.95,0.5597640166796094,-0.8278966173640463,-0.02066432810749137,0.01406985389118287,0.024999504888163118
2.0,0.5388206347945365,-0.8416772915253956,-0.02100864243784454,0.013551650611571412,0.025000205826738835
2.05,0.5175357244930875,-0.8549297474687795,-0.021339914907652444,0.013025171830664243,0.025000941371959903
2.1,0.4959226284906062,-0.8676454279631398,-0.021657945256701755,0.012490752289595211,0.02500170965158819
2.15,0.4739949130620746,-0.8798161116462123,-0.021962541647448597,0.011948731560709192,0.02500250830468419
2.2,0.4517663595649335,-0.8914339194986556,-0.02225352077058525,0.011399453813242921,0.025003334456170596
2.25,0.4292509557285169,-0.9024913211025178,-0.02253070794477903,0.01084326757574235,0.025004184694008204
2.3000000000000003,0.4064628867159078,-0.912981140672701,-0.022793937210574648,0.01028052549542513,0.025005055049363633
2.35,0.38341652596472375,-0.9228965628502617,-0.02304305141845727,0.009711584094699594,0.025005940980136854
2.4,0.36012642581403853,-0.9322311382466311,-0.023277902311076404,0.009136803525062668,0.025006837358202933
2.45,0.3366073079253225,-0.940978788728122,-0.023498350599635526,0.00855654731859945,0.025007738460700975
2.5,0.31287405350595127,-0.9491338124304227,-0.02370426603445456,0.007971182137313773,0.025008637965679502
2.5500000000000003,0.2889416933444811,-0.9566908884931727,-0.023895527469716644,0.007381077520526672,0.02500952895238147
2.6,0.264825397667503,-0.963645081505129,-0.02407202292241228,0.006786605630578424,0.025010403906417445
