nx,ny,k_mod,f_peak,omega_peak
1,0,0.04908738521234052,0.009997500624843789,0.06281614903453722
2,0,0.09817477042468103,0.014996250937265684,0.09422422355180585
3,0,0.14726215563702155,0.02499375156210947,0.15704037258634307
1,1,0.06942004590872447,0.009997500624843789,0.06281614903453722
2,1,0.10976273017251136,0.019995001249687578,0.12563229806907444
