E_substrate,E_defrag,E_total,participation_ratio,max_rho,var_rho,norm,step,time
9672.464634178683,-267.6039735770604,9404.860660601622,5.646535882054674e-05,2.0567179502624913,0.04123369852082734,16706.035338388618,0,0.0
9576.167598006858,-175.24194972592517,9400.925648280932,5.646375934069e-05,1.952371056770952,0.041264318645428885,16706.03533838857,50,0.25
9574.648901452085,-164.9083822955904,9409.740519156494,5.640830093927431e-05,1.99698923101798,0.04232707717440937,16706.035338388487,100,0.5
9582.580807649187,-160.83503404183443,9421.745773607352,5.635023193000844e-05,2.19690546257409,0.0434421051162317,16706.035338388436,150,0.75
9591.005523328096,-157.7640536810501,9433.241469647046,5.628138446815976e-05,1.979245286570466,0.044767079600014165,16706.035338388385,200,1.0
9639.403776334817,-191.8612163665382,9447.542559968279,5.620947171672049e-05,2.0141936914725234,0.04615451154752934,16706.035338388334,250,1.25
9648.119342487284,-194.37206827704904,9453.747274210235,5.6153487113216316e-05,1.836314390534011,0.04723709761335585,16706.035338388254,300,1.5
9703.488616035294,-225.89992211529963,9477.588693919995,5.601906577400844e-05,2.1075603169441814,0.04984526635534228,16706.035338388207,350,1.75
9749.064000917355,-239.9059530072838,9509.15804791007,5.584414433479212e-05,1.9567498549219537,0.053258056625415634,16706.035338388145,400,2.0
9742.213095437906,-215.48421887087824,9526.728876567027,5.574273075773458e-05,2.0705842984996643,0.055246486506406074,16706.035338388076,450,2.25
9830.032974299827,-267.84391809720466,9562.189056202622,5.5532119160019725e-05,2.0572334336975606,0.05939917979679596,16706.035338388,500,2.5
9855.427157962642,-247.77344995308442,9607.653708009557,5.529274154970706e-05,2.0961859367710494,0.0641574731928227,16706.035338387992,550,2.75
9940.297365333348,-272.1026510020584,9668.19471433129,5.4978540555267236e-05,2.3258843878433706,0.07046597577390228,16706.03533838791,600,3.0
10048.66377783153,-324.33518017436285,9724.328597657168,5.467068005452631e-05,2.232688992471191,0.07671750619633588,16706.035338387836,650,3.25
10178.65606305286,-377.3187877824773,9801.337275270384,5.427280588486655e-05,2.274440994311087,0.0849019478086114,16706.035338387766,700,3.5
10346.139444424804,-442.9899847393515,9903.149459685452,5.3754941572430085e-05,2.6059534204964607,0.09573611105288302,16706.03533838772,750,3.75
10497.299342639435,-476.90637350949146,10020.392969129944,5.317919047153433e-05,2.5490721928644913,0.1080290216088198,16706.035338387665,800,4.0
10763.67626637646,-585.4226871114206,10178.25357926504,5.244780434908955e-05,2.442076626169842,0.12403409767798741,16706.03533838759,850,4.25
10994.911430673299,-632.629205237514,10362.282225435785,5.1647965112435514e-05,2.5895102127914518,0.14205606668501086,16706.035338387544,900,4.5
11368.217604544963,-760.998063218103,10607.21954132686,5.0629869862770125e-05,2.7008280334400965,0.1658194594054493,16706.03533838749,950,4.75
11745.350800665485,-858.7448069272,10886.605993738285,4.953178050607465e-05,2.928395330176934,0.1925450303561731,16706.03533838746,1000,5.0
12240.310135110516,-1021.6126407216218,11218.697494388894,4.8289613635096896e-05,2.8800637658776522,0.2242423349077053,16706.03533838741,1050,5.25
12757.077870120396,-1152.5022478785343,11604.575622241862,4.6934706439801894e-05,3.1071773148450235,0.26072963876145927,16706.03533838733,1100,5.5
13470.941152598956,-1402.7779879951183,12068.163164603839,4.545235641972152e-05,2.8870674912943413,0.3031408147495404,16706.035338387253,1150,5.75
14187.838526007456,-1583.453658242083,12604.384867765373,4.3897294277115164e-05,3.2660814932251387,0.35071086976359434,16706.035338387228,1200,6.0
15054.43115572026,-1847.5846895022132,13206.846466218047,4.228133778829896e-05,3.3379766260366472,0.4038510779244804,16706.03533838716,1250,6.25
16004.028808797737,-2138.457377806877,13865.57143099086,4.067719046788011e-05,3.2804599607249876,0.4607789095460326,16706.03533838709,1300,6.5
16955.074411139,-2388.9570092522245,14566.117401886777,3.915593748446163e-05,3.3272300684127836,0.5190741272081103,16706.03533838706,1350,6.75
17952.415032139783,-2698.5759114005205,15253.839120739263,3.77789857910235e-05,3.383800322344353,0.5758875355266351,16706.035338387017,1400,7.0
18843.633075599326,-2963.2887818132563,15880.34429378607,3.65940620189101e-05,3.5751897047469594,0.6282005273782223,16706.03533838697,1450,7.25
19611.216105742,-3209.7608941814865,16401.455211560515,3.5632929146405655e-05,3.5654529839429228,0.673189010243789,16706.035338386915,1500,7.5
20274.52184238011,-3398.3772273363593,16876.144615043748,3.485992554484634e-05,3.638648620272123,0.711171514799905,16706.035338386846,1550,7.75
20879.902286368088,-3575.527979895998,17304.37430647209,3.427427054402559e-05,3.5609238585497325,0.7410891485324744,16706.0353383868,1600,8.0
21208.163466233156,-3723.403805248239,17484.759660984917,3.398374081858531e-05,3.640131309252618,0.7563132346167392,16706.035338386686,1650,8.25
21375.770278260876,-3851.784380842531,17523.985897418344,3.3894479543698903e-05,3.7298531327628215,0.7610430369765822,16706.03533838658,1700,8.5
21438.155398520074,-3949.8011800141653,17488.35421850591,3.393514014236661e-05,3.752333287181284,0.7588854157166999,16706.035338386533,1750,8.75
21473.780519604312,-4019.1330129883545,17454.64750661596,3.40230454969455e-05,3.6261243370053315,0.754238416943743,16706.03533838647,1800,9.0
21435.895763842498,-4062.131132322271,17373.76463152023,3.415075685666009e-05,3.639360871468813,0.7475297524882584,16706.035338386435,1850,9.25
21513.799529956363,-4191.8083316874945,17321.991198268868,3.425904276495309e-05,3.822321712297835,0.7418806891100167,16706.035338386377,1900,9.5
21646.539366787743,-4297.018168250183,17349.52119853756,3.4306522567541776e-05,4.487337830117553,0.7394150072362238,16706.035338386333,1950,9.75
