M,M_abs,E_Ising,E_defrag,E_total,E_bind,n_walls,var_M,Phi_max,Phi_var,sweep
0.59228515625,0.59228515625,-2792.0,484.7225715925033,-2307.2774284074967,-428.67898117776906,1213,0.011029958724975586,9.841698044663785,12.270312709630238,0
-0.00146484375,0.00146484375,-7896.0,174382.85825802997,166486.85825802997,-173974.94420867978,128,0.991346001625061,127.94595182287247,8700.050999549483,100
-0.00048828125,0.00048828125,-7900.0,174503.27097090805,166603.27097090805,-174186.47788106633,128,0.9933010339736938,127.85409473392836,8710.042316498766,200
0.0,0.0,-7908.0,174565.81641711353,166657.81641711353,-174293.49061403135,128,0.994232177734375,127.9029424968131,8715.10549152701,300
-0.0009765625,0.0009765625,-7864.0,174076.47542468342,166212.47542468342,-173443.47435737267,128,0.9865713119506836,127.73517743777246,8674.925289654915,400
-0.00048828125,0.00048828125,-7900.0,174505.2412855056,166605.2412855056,-174187.81696778664,128,0.9933010339736938,127.94142361975884,8710.102196937405,500
-0.00048828125,0.00048828125,-7904.0,174504.02435454619,166600.02435454619,-174186.92525784296,128,0.9933010339736938,127.90046685610211,8710.054664540261,600
0.0,0.0,-7896.0,174441.77393544506,166545.77393544506,-174079.75445077897,128,0.9923095703125,127.82353368744306,8705.011866774212,700
-0.00146484375,0.00146484375,-7888.0,174381.55374875566,166493.55374875566,-173974.38734369256,128,0.991376519203186,127.88657219304774,8700.011753744275,800
0.00146484375,0.00146484375,-7836.0,173771.4440027877,165935.4440027877,-172914.93042894575,128,0.981916069984436,127.54078246851837,8649.902593470037,900
-0.00048828125,0.00048828125,-7892.0,174383.02011065936,166491.02011065936,-173975.21039564145,128,0.9913784265518188,127.82554267567316,8700.031820822021,1000
0.0,0.0,-7812.0,173586.2489749217,165774.2489749217,-172597.6978763797,128,0.979095458984375,127.53542291270162,8634.854717787086,1100
-0.00048828125,0.00048828125,-7888.0,174381.54132494473,166493.54132494473,-173974.77400921937,128,0.9914089441299438,127.80094428209762,8700.00998623954,1200
-0.00048828125,0.00048828125,-7856.0,174013.98026108893,166157.98026108893,-173335.9367009175,128,0.9855800867080688,127.6333831295657,8669.881877945518,1300
-0.00048828125,0.00048828125,-7896.0,174382.75849621758,166486.75849621758,-173974.64029592677,128,0.9913479089736938,127.88134499980725,8700.046852031697,1400
-0.00048828125,0.00048828125,-7892.0,174383.3358020648,166491.3358020648,-173976.31511833757,128,0.9914394617080688,128.0037877074702,8700.06802385741,1500
0.00048828125,0.00048828125,-7900.0,174504.27134207668,166604.27134207668,-174187.003347845,128,0.9932705163955688,127.99273368200863,8710.081114743818,1600
0.0,0.0,-7908.0,174565.6640861935,166657.6640861935,-174293.54184654806,128,0.994232177734375,127.91794056883307,8715.098989264992,1700
0.0,0.0,-7900.0,174564.08141712204,166664.08141712204,-174292.5741274745,128,0.994232177734375,127.82058518553224,8715.060417571283,1800
0.00048828125,0.00048828125,-7856.0,174015.42741146113,166159.42741146113,-173337.52487237693,128,0.9856411218643188,127.65096785797354,8669.930870027427,1900
-0.00146484375,0.00146484375,-7880.0,174258.93602303707,166378.93602303707,-173761.34903685507,128,0.989423394203186,127.72420675481504,8689.963275792627,2000
