Lx,Ly,J_hop,m,g_defrag,sigma_defrag,lambda_G,lambda_S,lambda_T,J_exch,E0,antisym_score,sym_score,overlap_prob,singlet_fraction,E_gauss,converged,error_msg
2,2,1.0,0.1,1.0,1.0,0.0,-2.0,0.0,0.0,-9.943504327535182,-2.009429934675243,0.009429934675244445,0.3396944312255987,0.24764251633118892,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,-2.0,0.0,1.0,-10.212770435797271,1.0,-3.0,0.3787705160718481,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,-2.0,0.0,2.0,-10.512209897880018,1.0,-3.000000000000001,0.42003864599435836,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,-1.0,0.0,0.0,-9.628111927676612,0.5867303554723764,-2.5867303554723766,0.2919979497889018,0.8966825888680942,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,-1.0,0.0,1.0,-9.86014097126384,1.0,-3.0,0.3272658100156779,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,-1.0,0.0,2.0,-10.119746069237676,1.0,-3.0,0.3654674697859135,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,-9.357601566142819,-2.7009548100785215,0.7009548100785215,0.24999999999999997,0.07476129748036962,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,-9.556501032853397,1.0,-3.0,0.280949609449596,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,2.0,-9.77984408656837,1.0,-2.999999999999999,0.31516512204695907,1.0,0.0,True,
2,2,1.0,0.1,1.0,1.0,2.0,-2.0,0.0,0.0,-8.357601566142819,0.8008813838367016,-2.8008813838367015,0.2500000000000001,0.9502203459591754,1.5000000000000002,True,
2,2,1.0,0.1,1.0,1.0,2.0,-2.0,0.0,1.0,-8.556501032853419,1.0,-3.0,0.280949609449596,1.0,1.561899218899192,True,
