id1,id2,t_start,t_end,min_sep
1.947000000000000000e+03,1.190000000000000000e+02,1.300000000000000044e+00,1.400000000000000000e+01,5.000000000000000000e+00
1.947000000000000000e+03,3.253000000000000000e+03,3.700000000000000178e+00,1.710000000000000142e+01,1.000000000000000000e+00
1.947000000000000000e+03,2.689000000000000000e+03,2.700000000000000178e+00,1.630000000000000071e+01,2.042136131565131407e+00
1.947000000000000000e+03,1.683000000000000000e+03,1.300000000000000044e+00,1.420000000000000107e+01,3.605551275463989125e+00
1.947000000000000000e+03,3.655000000000000000e+03,4.500000000000000000e+00,1.710000000000000142e+01,3.605551275463989125e+00
1.947000000000000000e+03,3.714000000000000000e+03,4.600000000000000533e+00,1.710000000000000142e+01,2.828427124746190291e+00
1.947000000000000000e+03,3.155000000000000000e+03,3.500000000000000000e+00,1.600000000000000000e+01,7.385644523258287908e-01
1.947000000000000000e+03,1.200000000000000000e+02,1.300000000000000044e+00,1.240000000000000036e+01,4.307089551908951819e+00
1.947000000000000000e+03,2.800000000000000000e+01,1.300000000000000044e+00,1.159999999999999964e+01,2.000000000000000000e+00
1.947000000000000000e+03,3.017000000000000000e+03,3.200000000000000178e+00,1.420000000000000107e+01,2.236067977499789805e+00
1.947000000000000000e+03,2.211000000000000000e+03,1.800000000000000044e+00,1.270000000000000107e+01,1.000000000000000000e+00
1.947000000000000000e+03,2.315000000000000000e+03,2.000000000000000000e+00,1.259999999999999964e+01,4.472135954999579610e+00
1.947000000000000000e+03,6.016000000000000000e+03,8.900000000000000355e+00,1.710000000000000142e+01,1.000000000000000000e+00
1.947000000000000000e+03,4.880000000000000000e+03,6.799999999999999822e+00,1.689999999999999858e+01,2.000000000000000000e+00
1.947000000000000000e+03,2.871000000000000000e+03,3.000000000000000000e+00,1.300000000000000000e+01,5.000000000000000000e+00
1.947000000000000000e+03,2.316000000000000000e+03,2.000000000000000000e+00,1.190000000000000036e+01,1.010152544552209708e+00
1.947000000000000000e+03,4.098000000000000000e+03,5.400000000000000355e+00,1.509999999999999964e+01,3.000000000000000000e+00
1.947000000000000000e+03,3.962000000000000000e+03,5.100000000000000533e+00,1.440000000000000036e+01,2.634155559226539989e+00
1.947000000000000000e+03,5.500000000000000000e+01,1.300000000000000044e+00,9.000000000000000000e+00,2.000000000000000000e+00
1.947000000000000000e+03,3.675000000000000000e+03,4.500000000000000000e+00,1.350000000000000000e+01,1.000000000000000000e+00
1.947000000000000000e+03,3.438000000000000000e+03,4.099999999999999645e+00,1.300000000000000000e+01,1.743793659390524775e+00
3.652000000000000000e+03,5.034000000000000000e+03,7.100000000000000533e+00,2.000000000000000000e+01,4.123105625617665027e+00
3.652000000000000000e+03,3.944000000000000000e+03,5.100000000000000533e+00,1.610000000000000142e+01,3.165144639596925824e+00
3.652000000000000000e+03,3.487000000000000000e+03,4.500000000000000000e+00,1.490000000000000036e+01,1.862561623804474653e+00
3.652000000000000000e+03,2.000000000000000000e+00,4.500000000000000000e+00,1.009999999999999964e+01,1.791612832955234103e+00
3.652000000000000000e+03,2.860000000000000000e+03,4.500000000000000000e+00,1.309999999999999964e+01,3.000000000000000000e+00
3.652000000000000000e+03,3.875000000000000000e+03,5.000000000000000000e+00,1.509999999999999964e+01,1.000000000000000000e+00
3.652000000000000000e+03,4.484000000000000000e+03,6.100000000000000533e+00,1.610000000000000142e+01,3.917677697140866666e+00
3.652000000000000000e+03,3.381000000000000000e+03,4.500000000000000000e+00,1.380000000000000071e+01,2.236067977499789805e+00
3.652000000000000000e+03,4.817000000000000000e+03,6.700000000000000178e+00,1.630000000000000071e+01,4.472135954999579610e+00
3.652000000000000000e+03,4.815000000000000000e+03,6.700000000000000178e+00,1.619999999999999929e+01,1.000000000000000000e+00
3.652000000000000000e+03,5.333000000000000000e+03,7.700000000000000178e+00,1.719999999999999929e+01,1.142857142857142350e+00
3.652000000000000000e+03,6.799000000000000000e+03,1.040000000000000036e+01,1.990000000000000213e+01,2.236067977499789805e+00
3.652000000000000000e+03,3.146000000000000000e+03,4.500000000000000000e+00,1.290000000000000036e+01,4.000000000000000000e+00
3.652000000000000000e+03,6.109000000000000000e+03,9.099999999999999645e+00,1.840000000000000213e+01,3.605551275463989125e+00
3.652000000000000000e+03,3.148000000000000000e+03,4.500000000000000000e+00,1.259999999999999964e+01,4.123105625617660586e+00
3.652000000000000000e+03,3.252000000000000000e+03,4.500000000000000000e+00,1.270000000000000107e+01,3.000000000000000000e+00
3.652000000000000000e+03,4.433000000000000000e+03,6.000000000000000000e+00,1.500000000000000000e+01,7.142857142857138575e-01
1.180000000000000000e+02,2.086000000000000000e+03,1.500000000000000000e+00,1.459999999999999964e+01,1.000000000000000000e+00
1.180000000000000000e+02,2.546000000000000000e+03,2.399999999999999911e+00,1.370000000000000107e+01,1.000000000000000000e+00
1.180000000000000000e+02,1.670000000000000000e+02,0.000000000000000000e+00,1.120000000000000107e+01,1.000000000000000000e+00
1.180000000000000000e+02,2.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,1.414213562373095145e+00
1.180000000000000000e+02,1.882000000000000000e+03,1.199999999999999956e+00,1.180000000000000071e+01,1.943650631615104318e+00
1.180000000000000000e+02,2.758000000000000000e+03,2.800000000000000266e+00,1.340000000000000036e+01,1.000000000000000000e+00
1.180000000000000000e+02,1.900000000000000000e+02,0.000000000000000000e+00,1.040000000000000036e+01,4.000000000000000000e+00
1.180000000000000000e+02,1.507000000000000000e+03,5.000000000000000000e-01,1.090000000000000036e+01,2.014122474529199902e+00
1.180000000000000000e+02,3.681000000000000000e+03,4.500000000000000000e+00,1.450000000000000000e+01,1.414213562373095145e+00
1.180000000000000000e+02,2.326000000000000000e+03,2.000000000000000000e+00,1.190000000000000036e+01,2.941608611710570642e+00
1.180000000000000000e+02,5.471000000000000000e+03,7.900000000000000355e+00,1.459999999999999964e+01,1.000000000000000000e+00
1.180000000000000000e+02,2.483000000000000000e+03,2.300000000000000266e+00,1.140000000000000036e+01,8.958064164776173843e-01
1.180000000000000000e+02,1.577000000000000000e+03,5.999999999999999778e-01,9.599999999999999645e+00,1.000000000000000000e+00
1.180000000000000000e+02,2.393000000000000000e+03,2.100000000000000089e+00,1.100000000000000000e+01,2.253968253968253066e+00
1.180000000000000000e+02,2.863000000000000000e+03,3.000000000000000000e+00,1.190000000000000036e+01,2.236067977499789805e+00
2.949000000000000000e+03,4.062000000000000000e+03,5.299999999999999822e+00,1.750000000000000000e+01,1.414213562373095145e+00
2.949000000000000000e+03,4.826000000000000000e+03,6.700000000000000178e+00,1.750000000000000000e+01,4.123105625617660586e+00
2.949000000000000000e+03,2.698000000000000000e+03,3.100000000000000089e+00,1.370000000000000107e+01,2.828427124746190291e+00
2.949000000000000000e+03,1.440000000000000000e+02,3.100000000000000089e+00,1.090000000000000036e+01,2.000000000000000000e+00
2.949000000000000000e+03,4.010000000000000000e+03,5.200000000000000178e+00,1.559999999999999964e+01,1.000000000000000000e+00
2.949000000000000000e+03,5.746000000000000000e+03,8.400000000000000355e+00,1.750000000000000000e+01,1.000000000000000000e+00
2.949000000000000000e+03,3.603000000000000000e+03,4.400000000000000355e+00,1.430000000000000071e+01,1.000000000000000000e+00
2.949000000000000000e+03,5.506000000000000000e+03,8.000000000000000000e+00,1.750000000000000000e+01,3.162277660168379523e+00
2.949000000000000000e+03,4.188000000000000000e+03,5.500000000000000000e+00,1.520000000000000107e+01,3.162277660168379523e+00
2.949000000000000000e+03,4.956000000000000000e+03,6.900000000000000355e+00,1.660000000000000142e+01,1.518592258962091046e+00
