id1,id2,t_start,t_end,min_sep
2.748000000000000000e+03,1.687000000000000000e+03,2.800000000000000266e+00,1.400000000000000000e+01,3.869794392726221943e+00
2.748000000000000000e+03,1.634000000000000000e+03,2.800000000000000266e+00,1.250000000000000000e+01,2.236067977499789805e+00
2.748000000000000000e+03,4.106000000000000000e+03,5.400000000000000355e+00,1.660000000000000142e+01,2.000000000000000000e+00
2.748000000000000000e+03,6.048000000000000000e+03,9.000000000000000000e+00,2.000000000000000000e+01,2.000000000000000000e+00
2.748000000000000000e+03,3.493000000000000000e+03,4.200000000000000178e+00,1.470000000000000107e+01,2.828427124746190291e+00
2.748000000000000000e+03,6.158000000000000000e+03,9.200000000000001066e+00,1.969999999999999929e+01,2.828427124746190291e+00
2.748000000000000000e+03,2.867000000000000000e+03,3.000000000000000000e+00,1.330000000000000071e+01,2.236067977499789805e+00
2.748000000000000000e+03,2.000000000000000000e+00,2.800000000000000266e+00,1.009999999999999964e+01,4.123105625617660586e+00
2.748000000000000000e+03,1.884000000000000000e+03,2.800000000000000266e+00,1.100000000000000000e+01,4.123105625617660586e+00
2.748000000000000000e+03,6.690000000000000000e+03,1.020000000000000107e+01,2.000000000000000000e+01,7.453559924999294539e-01
2.748000000000000000e+03,5.455000000000000000e+03,7.900000000000000355e+00,1.750000000000000000e+01,4.472135954999579610e+00
2.748000000000000000e+03,2.749000000000000000e+03,2.800000000000000266e+00,1.220000000000000107e+01,1.000000000000000000e+00
2.748000000000000000e+03,3.775000000000000000e+03,4.700000000000000178e+00,1.390000000000000036e+01,2.000000000000000000e+00
2.748000000000000000e+03,7.148000000000000000e+03,1.100000000000000000e+01,2.000000000000000000e+01,3.162277660168379523e+00
5.500000000000000000e+01,2.213000000000000000e+03,1.800000000000000044e+00,1.630000000000000071e+01,4.123105625617660586e+00
5.500000000000000000e+01,3.780000000000000000e+03,4.700000000000000178e+00,1.669999999999999929e+01,1.017978967925330824e+00
5.500000000000000000e+01,3.023000000000000000e+03,3.200000000000000178e+00,1.669999999999999929e+01,2.236067977499789805e+00
5.500000000000000000e+01,3.262000000000000000e+03,3.700000000000000178e+00,1.669999999999999929e+01,2.236067977499789805e+00
5.500000000000000000e+01,1.683000000000000000e+03,8.000000000000000444e-01,1.390000000000000036e+01,2.000000000000000000e+00
5.500000000000000000e+01,1.830000000000000000e+03,1.100000000000000089e+00,1.400000000000000000e+01,2.582427973896453288e+00
5.500000000000000000e+01,1.438000000000000000e+03,4.000000000000000222e-01,1.300000000000000000e+01,2.236067977499789805e+00
5.500000000000000000e+01,5.180000000000000000e+03,7.299999999999999822e+00,1.669999999999999929e+01,4.472135954999579610e+00
5.500000000000000000e+01,5.188000000000000000e+03,7.299999999999999822e+00,1.669999999999999929e+01,4.715033877888879843e+00
