time,E_matter,E_gauge,E_total
0.0,10.05090424381724,0.0,10.05090424381724
0.2,10.052144749307075,0.00044397485978910946,10.052588724166865
0.4,10.055866605100272,0.001778252432905864,10.057644857533178
0.6,10.062070832307146,0.0040099107118792676,10.066080743019025
0.8,10.070759145578688,0.007150810031621033,10.077909955610309
1.0,10.081933977197869,0.011217689675757276,10.093151666873625
1.2,10.095598510221338,0.016232305311110383,10.111830815532448
1.4000000000000001,10.111756720137663,0.02222160947475534,10.133978329612418
1.6,10.130413424395663,0.029217978030920518,10.159631402426584
1.8,10.151574339070551,0.03725948625315969,10.18883382532371
2.0,10.17524614187962,0.04639023898342547,10.221636380863046
2.2,10.201436540734663,0.056660760188312315,10.258097300922977
2.4,10.230154347025344,0.06812844819020229,10.298282795215547
2.6,10.261409552865608,0.08085810391613318,10.342267656781742
2.8000000000000003,10.295213411601452,0.09492254070154539,10.390135952302998
3.0,10.33157852097058,0.1104032855346305,10.441981806505211
3.2,10.370518908418894,0.12739138315870274,10.497910291577597
3.4,10.412050118211923,0.1459883161983711,10.558038434410294
3.6,10.456189300127773,0.16630705647924857,10.622496356607021
3.8000000000000003,10.502955299678215,0.18847326501584016,10.691428564694055
4.0,10.552368749973734,0.21262666080097004,10.764995410774704
4.2,10.604452165524275,0.23892258160441568,10.84337474712869
4.4,10.659230038448486,0.2675337635506104,10.926763801999096
4.6000000000000005,10.716728937749998,0.2986523703801271,11.015381308130126
4.8,10.776977612509578,0.33249230810672736,11.109469920616306
5.0,10.840007100038079,0.3692918663781803,11.20929896641626
5.2,10.905850840238346,0.40931673437283156,11.315167574611177
5.4,10.974544797637712,0.4528634466778908,11.427408244315602
5.6000000000000005,11.046127592779037,0.5002633234920253,11.546390916271061
5.8,11.12064064490204,0.551886979901833,11.672527624803871
6.0,11.19812832811223,0.6081494911688736,11.806277819281103
6.2,11.278638143527516,0.6695163152512507,11.948154458778767
6.4,11.36222091021896,0.7365100905513988,12.098731000770359
6.6000000000000005,11.448930978128775,0.8097184465818859,12.258649424710661
6.8,11.538826466563524,0.8898029884119844,12.428629454975509
7.0,11.631969532332468,0.9775096430413921,12.60947917537386
7.2,11.728426672139923,1.0736805880098679,12.802107260149791
7.4,11.828269064457768,1.179268020508459,13.007537084966227
7.6000000000000005,11.931572956812857,1.2953500701053853,13.226923026918243
7.8,12.038420105238899,1.4231492112509385,13.461569316489838
8.0,12.148898273580057,1.5640535945572382,13.712951868137296
8.2,12.26310180141446,1.719641790354887,13.982743591769347
8.4,12.381132250612165,1.8917115264898783,14.272843777102043
8.6,12.503099141981151,2.082313107489944,14.585412249471094
8.8,12.62912079511704,2.293788327420065,14.922909122537105
9.0,12.759325286494594,2.528815837978876,15.28814112447347
9.200000000000001,12.8938515430638,2.790464111529518,15.684315654593318
9.4,13.03285059119102,3.0822533517221578,16.115103942913176
9.6,13.176486983775852,3.408227959345405,16.584714943121256
9.8,13.324940431846924,3.773041466814624,17.097981898661548
10.0,13.478407670978351,4.1820562219927675,17.66046389297112
10.200000000000001,13.637104597572376,4.641460543988899,18.278565141561273
10.4,13.801268715540305,5.158406606342467,18.95967532188277
10.6,13.97116194032572,5.74117294647958,19.7123348868053
10.8,14.147073814720045,6.39935627911722,20.546430093837266
11.0,14.329325199726068,7.1440982358871485,21.473423435613217
11.200000000000001,14.518272514077324,7.988353801788315,22.50662631586564
11.4,14.714312608221032,8.947209618514167,23.6615222267352
11.6,14.917888372986337,10.038262034588035,24.95615040757437
11.8,15.129495200237624,11.282066877244741,26.411562077482365
12.0,15.349688433108263,12.702675495457305,28.05236392856557
12.200000000000001,15.57909196760935,14.328274797134931,29.907366764744282
12.4,15.818408196363887,16.19195292891535,32.01036112527923
12.6,16.068429519998304,18.33261711960293,34.40104663960123
12.8,16.330051693674427,20.796096279754742,37.12614797342917
13.0,16.604289327069157,23.63646854567923,40.24075787274839
13.200000000000001,16.89229391797285,26.91766349947651,43.80995741744936
13.4,17.195374875357682,30.715400841139374,47.91077571649706
13.6,17.515024080837794,35.11954256164199,52.63456664247978
13.8,17.852944652534834,40.236955128955515,58.089899781490345
14.0,18.21108471850406,46.19500313011376,64.40608784861783
14.200000000000001,18.591677185962475,53.14582792002241,71.7375051059849
14.4,18.99728671798056,61.27160640756648,80.26889312554704
14.6,19.43086541479764,70.79103926476697,90.2219046795646
14.8,19.8958190607674,81.96738879253532,101.86320785330273
15.0,20.396086264539804,95.11848018022633,115.51456644476613
15.200000000000001,20.93623342218606,110.62920387478877,131.56543729697484
15.4,21.521569214723094,128.96722216911616,150.48879138383924
15.6,22.158283372666894,150.70280512300778,172.86108849567466
15.8,22.85361578213471,176.53402075906985,199.38763654120456
16.0,23.616063780655363,207.31891190437608,230.93497568503145
16.2,24.455637848540462,244.11684907731308,268.5724869258535
16.4,25.38417905323188,288.2420149921879,313.62619404541977
16.6,26.415755839765414,341.33303640459644,367.7487922443619
16.8,27.567163483763338,405.4442545939756,433.01141807773894
17.0,28.858557297205337,483.1661914613169,512.0247487585223
17.2,30.314261290974123,577.7856764404105,608.0999377313847
17.400000000000002,31.963808563546664,693.5002166149159,725.4640251784625
17.6,33.843289775278606,835.7070528867364,869.550342662015
17.8,35.9971139190141,1011.3957311480777,1047.392845067092
18.0,38.480324405475,1229.685079716793,1268.165404122268
18.2,41.361667833572426,1502.5629216658472,1543.9245894994197
18.400000000000002,44.72768933080249,1845.9121815832987,1890.6398709141013
18.6,48.688236625481565,2280.9440186239763,2329.632255249458
18.8,53.383909033938174,2836.2128297152385,2889.596738749177
19.0,58.996207768029905,3550.467810781598,3609.464018549628
19.2,65.76146040767799,4476.713864520136,4542.475324927814
19.400000000000002,73.99004912325337,5688.030055670126,5762.02010479338
19.6,84.09313382380171,7285.955392516369,7370.048526340171
19.8,96.62002142016561,9412.643282872137,9509.263304292303
20.0,112.31072336312624,12268.574340694051,12380.885064057176
20.2,132.17024432378452,16138.504310482484,16270.674554806268
20.400000000000002,157.57397193732527,21429.665994989533,21587.23996692686
20.6,190.41738633500466,28728.281221840298,28918.698608175302
20.8,233.32816015231344,38883.540583355745,39116.86874350806
21.0,289.96384254362897,53132.94514160883,53422.908984152455
21.2,365.4211730934869,73290.15726204886,73655.57843514235
21.400000000000002,466.77737557228454,102027.64339077109,102494.42076634338
21.6,603.7575607290993,143303.53057169373,143907.28813242284
21.8,789.461080892984,203008.53915670112,203798.0002375941
22.0,1040.9911812278624,289949.7393369181,290990.73051814595
22.2,1379.8269896279671,417351.25523672637,418731.08222635434
22.400000000000002,1832.215379433551,605150.5523899539,606982.7677693875
22.6,2431.364149022688,883522.5437836017,885953.9079326245
22.8,3225.7001225461067,1298303.9099134644,1301529.6100360106
23.0,4297.883765884235,1919366.0435510396,1923663.9273169239
23.2,5792.133273510084,2853573.720376723,2859365.8536502332
23.400000000000002,7929.483174019828,4264887.944503422,4272817.427677441
23.6,11022.981543919625,6405618.558546713,6416641.540090633
23.8,15917.66738891997,9665143.918807525,9681061.586196445
24.0,25918.267006229886,14646322.610775214,14672240.877781443
24.2,48172.06945174368,22285262.825410772,22333434.894862514
24.400000000000002,196425.85885187567,34046751.257529125,34243177.116381
24.6,2830379.8578116754,52369996.03162819,55200375.889439866
24.8,,,
25.0,,,
25.2,,,
25.400000000000002,,,
25.6,,,
25.8,,,
26.0,,,
26.2,,,
26.400000000000002,,,
26.6,,,
26.8,,,
27.0,,,
27.2,,,
27.400000000000002,,,
27.6,,,
27.8,,,
28.0,,,
28.2,,,
28.400000000000002,,,
28.6,,,
28.8,,,
29.0,,,
29.2,,,
29.400000000000002,,,
29.6,,,
29.8,,,
30.0,,,
30.2,,,
30.400000000000002,,,
30.6,,,
30.8,,,
31.0,,,
31.2,,,
31.400000000000002,,,
31.6,,,
31.8,,,
32.0,,,
32.2,,,
32.4,,,
32.6,,,
32.8,,,
33.0,,,
33.2,,,
33.4,,,
33.6,,,
33.8,,,
34.0,,,
34.2,,,
34.4,,,
34.6,,,
34.800000000000004,,,
35.0,,,
35.2,,,
35.4,,,
35.6,,,
35.800000000000004,,,
36.0,,,
36.2,,,
36.4,,,
36.6,,,
36.800000000000004,,,
37.0,,,
37.2,,,
37.4,,,
37.6,,,
37.800000000000004,,,
38.0,,,
38.2,,,
38.4,,,
38.6,,,
38.800000000000004,,,
39.0,,,
39.2,,,
39.4,,,
39.6,,,
39.800000000000004,,,
40.0,,,
