time,E_matter,E_gauge,E_total
0.0,10.05090424381724,0.0,10.05090424381724
0.4,10.050237479336012,0.17774271117707696,10.227980190513088
0.8,10.04012574034265,0.7134838127875041,10.753609553130154
1.2,10.008533513102254,1.6137217723116781,11.622255285413932
1.6,9.943932755381162,2.8871861962236225,12.831118951604784
2.0,9.835904215042248,4.5432772963663615,14.37918151140861
2.4,9.675904819140912,6.590871889538983,16.266776708679895
2.8000000000000003,9.458092056743524,9.037702209300392,18.495794266043916
3.2,9.18005544601045,11.890545185057011,21.07060063106746
3.6,8.843290262777632,15.156439814417563,23.999730077195196
4.0,8.45327585231367,18.84507664543163,27.2983524977453
4.4,8.01909301062236,22.97239415355406,30.99148716417642
4.8,7.552616415542506,27.565308765396157,35.11792518093866
5.2,7.067418565533115,32.66744255364375,39.73486111917687
5.6000000000000005,6.5775895768527715,38.3457292853395,44.923318862192275
6.0,6.09669594332708,44.69788549486039,50.794581438187464
6.4,5.637080252489041,51.86091029786395,57.497990550352995
6.8,5.2096819530939245,60.020983536651606,65.23066548974553
7.2,4.824616325008071,69.42529963878549,74.24991596379355
7.6000000000000005,4.493069560022019,80.396375602858,84.88944516288002
8.0,4.232224815428255,93.34885414419502,97.58107895962327
8.4,4.079117462473881,108.80659544477618,112.88571290725005
8.8,4.136312798664321,127.4093145881881,131.5456273868524
9.200000000000001,4.75332565809024,149.86303209908084,154.61635775717107
9.6,7.4151033809857605,176.62690636700074,184.0420097479865
10.0,20.31373500376371,206.3251412456968,226.6388762494605
10.4,106.81139999993862,230.14843068441314,336.95983068435174
10.8,1017.7140670721168,364.28783091321355,1382.0018979853303
11.200000000000001,7003.322499618402,5661.603041727533,12664.925541345936
11.6,7540.8104624624375,26745.62625889782,34286.43672136026
12.0,6901.060104932247,41724.752435360104,48625.81254029235
12.4,,,
12.8,,,
13.200000000000001,,,
13.6,,,
14.0,,,
14.4,,,
14.8,,,
15.200000000000001,,,
15.6,,,
16.0,,,
16.4,,,
16.8,,,
17.2,,,
17.6,,,
18.0,,,
18.400000000000002,,,
18.8,,,
19.2,,,
19.6,,,
20.0,,,
20.400000000000002,,,
20.8,,,
21.2,,,
21.6,,,
22.0,,,
22.400000000000002,,,
22.8,,,
23.2,,,
23.6,,,
24.0,,,
24.400000000000002,,,
24.8,,,
25.2,,,
25.6,,,
26.0,,,
26.400000000000002,,,
26.8,,,
27.2,,,
27.6,,,
28.0,,,
28.400000000000002,,,
28.8,,,
29.2,,,
29.6,,,
30.0,,,
30.400000000000002,,,
30.8,,,
31.2,,,
31.6,,,
32.0,,,
32.4,,,
32.8,,,
33.2,,,
33.6,,,
34.0,,,
34.4,,,
34.800000000000004,,,
35.2,,,
35.6,,,
36.0,,,
36.4,,,
36.800000000000004,,,
37.2,,,
37.6,,,
38.0,,,
38.4,,,
38.800000000000004,,,
39.2,,,
39.6,,,
40.0,,,
40.4,,,
40.800000000000004,,,
41.2,,,
41.6,,,
42.0,,,
42.4,,,
42.800000000000004,,,
43.2,,,
43.6,,,
44.0,,,
44.4,,,
44.800000000000004,,,
45.2,,,
45.6,,,
46.0,,,
46.4,,,
46.800000000000004,,,
47.2,,,
47.6,,,
48.0,,,
48.4,,,
48.800000000000004,,,
49.2,,,
49.6,,,
50.0,,,
50.4,,,
50.800000000000004,,,
51.2,,,
51.6,,,
52.0,,,
52.4,,,
52.800000000000004,,,
53.2,,,
53.6,,,
54.0,,,
54.4,,,
54.800000000000004,,,
55.2,,,
55.6,,,
56.0,,,
56.4,,,
56.800000000000004,,,
57.2,,,
57.6,,,
58.0,,,
58.4,,,
58.800000000000004,,,
59.2,,,
59.6,,,
60.0,,,
60.4,,,
60.800000000000004,,,
61.2,,,
61.6,,,
62.0,,,
62.4,,,
62.800000000000004,,,
63.2,,,
63.6,,,
64.0,,,
64.4,,,
64.8,,,
65.2,,,
65.6,,,
66.0,,,
66.4,,,
66.8,,,
67.2,,,
67.6,,,
68.0,,,
68.4,,,
68.8,,,
69.2,,,
69.60000000000001,,,
70.0,,,
70.4,,,
70.8,,,
71.2,,,
71.60000000000001,,,
72.0,,,
72.4,,,
72.8,,,
73.2,,,
73.60000000000001,,,
74.0,,,
74.4,,,
74.8,,,
75.2,,,
75.60000000000001,,,
76.0,,,
76.4,,,
76.8,,,
77.2,,,
77.60000000000001,,,
78.0,,,
78.4,,,
78.8,,,
79.2,,,
79.60000000000001,,,
80.0,,,
