M,M_abs,E_Ising,E_defrag,E_total,E_bind,n_walls,var_M,Phi_max,Phi_var,sweep
0.58349609375,0.58349609375,-2824.0,976.9016102871765,-1847.0983897128235,-976.9016102871765,1220,0.6595323085784912,9.428871812305925,13.764760745937384,0
0.0,0.0,-7716.0,174436.68621349643,166720.68621349643,-174436.68621349643,128,1.0,127.9471652512514,8723.931772976466,100
0.00048828125,0.00048828125,-7704.0,174435.77838673542,166731.77838673542,-174435.77838673542,128,0.9999996423721313,128.14063438605172,8723.976019174403,200
-0.00048828125,0.00048828125,-7704.0,174434.74834591587,166730.74834591587,-174434.7483459158,128,0.9999996423721313,127.95182502334112,8723.93349654449,300
0.00146484375,0.00146484375,-7712.0,174436.8349967489,166724.8349967489,-174436.8349967489,128,0.9999977350234985,128.09255423401908,8723.964564333715,400
0.0,0.0,-7696.0,174381.30410605422,166685.30410605422,-174381.30410605422,128,1.0,128.27577274993888,8721.46408618533,500
-0.00048828125,0.00048828125,-7708.0,174435.9866603959,166727.9866603959,-174435.98666039587,128,0.9999996423721313,127.99819672798237,8723.939539350467,600
-0.00048828125,0.00048828125,-7708.0,174435.20866544897,166727.20866544897,-174435.208665449,128,0.9999996423721313,127.95889855251752,8723.932231968696,700
-0.00244140625,0.00244140625,-7720.0,174444.6049476717,166724.6049476717,-174444.60494767173,128,0.9999939203262329,128.17935698887896,8724.238255248956,800
0.0009765625,0.0009765625,-7720.0,174439.15142391517,166719.15142391517,-174439.15142391517,128,0.9999990463256836,128.05690808457118,8724.02263439329,900
0.0,0.0,-7712.0,174436.70875819112,166724.70875819112,-174436.70875819112,128,1.0,128.0885591493473,8723.958469644902,1000
