E_substrate,E_defrag,E_total,participation_ratio,max_rho,var_rho,norm,step,time
2337.9809140968355,-60.50077484303144,2247.2297518322885,0.00022616985185265064,1.8086094542638957,0.04210272734672495,4171.80013266368,0,0.0
2319.156056817783,-47.44339750234782,2247.990960564261,0.00022567704929937434,1.7984836323611193,0.04445989728051711,4171.800132663683,100,0.5
2330.7803576305478,-53.644636864914844,2250.3134023331754,0.00022425080715302161,1.8644510825064171,0.05134026909804536,4171.800132663677,200,1.0
2345.0793453829438,-60.70527006541938,2254.0214402848146,0.0002223234754364836,2.059481116257258,0.06077820845716962,4171.800132663683,300,1.5
2364.6520051927055,-69.48257095301148,2260.4281487631883,0.00021886332206859108,2.2223789648778745,0.07813930255917748,4171.800132663681,400,2.0
2416.733987480418,-97.0906619477699,2271.0979945587633,0.00021358996346217466,2.7348725865878944,0.10567991092228113,4171.800132663681,500,2.5
2514.3121447862886,-144.51526239810568,2297.53925118913,0.00020334792569477075,3.4560506233205373,0.1632511844995685,4171.800132663679,600,3.0
2717.152090315645,-241.15588917297583,2355.4182565561814,0.00018672872805922938,4.477641675439945,0.27010725978865213,4171.8001326636795,700,3.5
3090.1417297471808,-408.3593065947784,2477.6027698550133,0.00016333219492259648,5.432213103274795,0.4573946870443193,4171.80013266368,800,4.0
3687.9526462582353,-646.8835042232593,2717.6273899233465,0.00013563488773358245,5.777057305753434,0.7626297280775516,4171.800132663678,900,4.5
4632.831926789877,-1000.7346385581866,3131.729968952597,0.00010938638155568474,6.577395094139638,1.1945563531072532,4171.800132663684,1000,5.0
