time,energy
0.000000000000000000e+00,9.837936433546010974e-04
1.000000000000000056e-01,9.839826826002512784e-04
2.000000000000000111e-01,9.845498729862491895e-04
2.999999999999999889e-01,9.854954324876549245e-04
4.000000000000000222e-01,9.868197244893124002e-04
5.000000000000000000e-01,9.885232579254987165e-04
5.999999999999999778e-01,9.906066874755122768e-04
7.000000000000000666e-01,9.930708138152701415e-04
8.000000000000000444e-01,9.959165839250115441e-04
9.000000000000000222e-01,9.991450914532329017e-04
1.000000000000000000e+00,1.002757577136979220e-03
1.100000000000000089e+00,1.006755429278671007e-03
1.199999999999999956e+00,1.011140184279637338e-03
1.300000000000000044e+00,1.015913527230563693e-03
1.400000000000000133e+00,1.021077292559086558e-03
1.500000000000000000e+00,1.026633464734773120e-03
1.600000000000000089e+00,1.032584179031769030e-03
1.699999999999999956e+00,1.038931722349395676e-03
1.800000000000000044e+00,1.045678534091023116e-03
1.900000000000000133e+00,1.052827207101548253e-03
2.000000000000000000e+00,1.060380488663842337e-03
2.100000000000000089e+00,1.068341281554550937e-03
2.200000000000000178e+00,1.076712645159650164e-03
2.300000000000000266e+00,1.085497796650187379e-03
2.399999999999999911e+00,1.094700112218664149e-03
2.500000000000000000e+00,1.104323128376529612e-03
2.600000000000000089e+00,1.114370543313282329e-03
2.700000000000000178e+00,1.124846218317711224e-03
2.800000000000000266e+00,1.135754179261817300e-03
2.899999999999999911e+00,1.147098618147979025e-03
3.000000000000000000e+00,1.158883894719968562e-03
3.100000000000000089e+00,1.171114538138430744e-03
3.200000000000000178e+00,1.183795248721469708e-03
3.300000000000000266e+00,1.196930899751012106e-03
3.399999999999999911e+00,1.210526539345642763e-03
3.500000000000000000e+00,1.224587392400629639e-03
3.600000000000000089e+00,1.239118862595885986e-03
3.700000000000000178e+00,1.254126534472642732e-03
3.800000000000000266e+00,1.269616175579620608e-03
3.899999999999999911e+00,1.285593738689543367e-03
4.000000000000000000e+00,1.302065364086822793e-03
4.099999999999999645e+00,1.319037381927316279e-03
4.200000000000000178e+00,1.336516314671042744e-03
4.299999999999999822e+00,1.354508879588811653e-03
