frame_index,time,n_lumps
0,0.0,0
20,0.1,0
40,0.2,0
60,0.3,0
80,0.4,0
100,0.5,0
120,0.6,0
140,0.7000000000000001,0
160,0.8,0
180,0.9,0
200,1.0,0
220,1.1,0
240,1.2,0
260,1.3,0
280,1.4000000000000001,0
300,1.5,0
320,1.6,0
340,1.7,0
360,1.8,0
380,1.9000000000000001,0
400,2.0,0
420,2.1,0
440,2.2,0
460,2.3000000000000003,0
480,2.4,0
500,2.5,0
520,2.6,0
540,2.7,0
560,2.8000000000000003,0
580,2.9,0
600,3.0,0
620,3.1,0
640,3.2,0
660,3.3000000000000003,0
680,3.4,0
700,3.5,0
720,3.6,0
740,3.7,0
760,3.8000000000000003,0
780,3.9,0
800,4.0,0
820,4.1,0
840,4.2,0
860,4.3,0
880,4.4,0
900,4.5,0
920,4.6000000000000005,0
940,4.7,0
960,4.8,0
980,4.9,0
1000,5.0,0
1020,5.1000000000000005,0
1040,5.2,0
1060,5.3,1
1080,5.4,0
1100,5.5,0
1120,5.6000000000000005,0
1140,5.7,0
1160,5.8,0
1180,5.9,0
1200,6.0,0
1220,6.1000000000000005,0
1240,6.2,0
1260,6.3,0
1280,6.4,0
1300,6.5,0
1320,6.6000000000000005,0
1340,6.7,0
1360,6.8,0
1380,6.9,0
1400,7.0,0
1420,7.1000000000000005,0
1440,7.2,0
1460,7.3,0
1480,7.4,0
1500,7.5,0
1520,7.6000000000000005,0
1540,7.7,0
1560,7.8,0
1580,7.9,0
1600,8.0,0
1620,8.1,0
1640,8.2,0
1660,8.3,0
1680,8.4,0
1700,8.5,0
1720,8.6,0
1740,8.700000000000001,0
1760,8.8,0
1780,8.9,0
1800,9.0,0
1820,9.1,0
1840,9.200000000000001,0
1860,9.3,0
1880,9.4,0
1900,9.5,0
1920,9.6,0
1940,9.700000000000001,0
1960,9.8,0
1980,9.9,0
2000,10.0,1
2020,10.1,1
2040,10.200000000000001,1
2060,10.3,2
2080,10.4,2
2100,10.5,2
2120,10.6,2
2140,10.700000000000001,2
2160,10.8,2
2180,10.9,2
2200,11.0,5
2220,11.1,4
2240,11.200000000000001,6
2260,11.3,6
2280,11.4,7
2300,11.5,10
2320,11.6,12
2340,11.700000000000001,8
2360,11.8,10
2380,11.9,15
2400,12.0,13
2420,12.1,17
2440,12.200000000000001,18
2460,12.3,20
2480,12.4,21
2500,12.5,20
2520,12.6,18
2540,12.700000000000001,18
2560,12.8,14
2580,12.9,16
2600,13.0,15
2620,13.1,23
2640,13.200000000000001,24
2660,13.3,23
2680,13.4,24
2700,13.5,26
2720,13.6,24
2740,13.700000000000001,26
2760,13.8,29
2780,13.9,29
2800,14.0,33
2820,14.1,33
2840,14.200000000000001,27
2860,14.3,33
2880,14.4,30
2900,14.5,28
2920,14.6,31
2940,14.700000000000001,39
2960,14.8,37
2980,14.9,38
3000,15.0,36
