frame_index,time,n_lumps,id1,x1,y1,m1,r1,w1,id2,x2,y2,m2,r2,w2,separation
2060,10.3,2,1,17.0,4.0,35.56660962594364,1.4142135623730951,-0.010463001459222505,2,88.77777777777777,114.66666666666667,31.340513403666705,1.4740554623801778,0.007157777997082,58.83351694442023
2080,10.4,2,1,16.818181818181817,4.090909090909091,39.944969676238046,1.4937887931959077,-0.004681511505732626,2,88.63636363636364,114.63636363636364,38.00041657836368,1.3846860192479833,0.00783012687004166,58.83075599751944
2100,10.5,2,1,16.818181818181817,4.090909090909091,41.471686675364495,1.4937887931959077,-0.005338808447800513,2,88.63636363636364,114.63636363636364,39.550709037572624,1.3846860192479833,-0.061653522491033966,58.83075599751944
2120,10.6,2,1,16.818181818181817,4.090909090909091,42.3859940615033,1.4937887931959077,-0.006071095991637247,2,88.63636363636364,114.63636363636364,40.743031032823005,1.3846860192479833,-0.05152084321892241,58.83075599751944
2140,10.700000000000001,2,2,88.75,114.5,44.27462622776005,1.4505745987941008,-0.046392467196741234,1,16.818181818181817,4.090909090909091,42.565049111223935,1.4937887931959077,-0.007328337337623429,58.762922791853384
2160,10.8,2,1,16.6,4.466666666666667,54.83490065355588,1.8499249234015476,-0.011967673968971963,2,88.46153846153847,114.76923076923077,48.072891404053316,1.5073783032511865,-0.02517989376053902,58.861924036249256
2180,10.9,2,1,16.615384615384617,4.6923076923076925,50.426740642089655,1.7941390445677847,-0.016508867093571186,2,88.53846153846153,114.6923076923077,49.55217402351289,1.5689290811054724,-0.02291207454450686,58.8950023497338
2200,11.0,5,1,16.785714285714285,4.785714285714286,54.71662361392299,1.8653664081715136,-0.018620680430680426,2,88.3076923076923,114.46153846153847,51.95020386857394,1.5689290811054724,-0.010839390484958565,59.376277975174936
2220,11.1,4,1,16.6,4.8,57.70673323403261,1.9321835661585918,-0.026466638637111947,2,88.1,114.4,46.42288963728189,1.3892443989449805,0.0033501304508766457,59.42061931686676
2240,11.200000000000001,6,1,16.642857142857142,5.214285714285714,53.512142555722335,1.7641555764612098,-0.0054410216827201225,2,88.625,114.75,40.71738491769419,1.2930100540985752,-0.0012144758228289697,58.98245642406161
2260,11.3,6,2,88.26666666666667,113.86666666666666,62.872056853077844,2.231093404090868,-0.010513866858517055,1,16.307692307692307,5.076923076923077,50.991596654521736,1.790837957972741,-0.01869881207944928,59.24213455173515
2280,11.4,7,2,89.0,114.84615384615384,54.77282486310635,1.5613679330911105,0.004160299631346937,1,16.5,5.071428571428571,53.62138399483606,1.8598880808987908,-0.018229175024173483,58.4158423615695
2300,11.5,10,2,88.78571428571429,114.92857142857143,57.41147514285023,1.6751484856512247,-0.08136748522688952,1,16.416666666666668,4.916666666666667,47.68783799646681,1.7280367794439766,-0.04873070691476148,58.46686611326603
2320,11.6,12,2,88.3529411764706,114.41176470588235,67.4254487695582,2.0863703354080236,0.003817953612566882,3,106.0,101.15384615384616,49.770037907086895,1.5112986695683461,-0.03431909743527547,22.072405610932677
2340,11.700000000000001,8,2,88.47058823529412,114.6470588235294,66.15959465791882,1.9420675316728446,0.0856501520474103,3,106.0,101.15384615384616,51.26618579005279,1.5112986695683461,-0.030857056445979685,22.121190405715275
2360,11.8,10,2,88.70588235294117,114.58823529411765,66.01233822383185,1.965093304528243,0.0585660348429089,3,106.14285714285714,101.07142857142857,54.8255995609838,1.5730511103960887,-0.008721723516031525,22.062460284444654
2380,11.9,15,2,88.6875,114.5,61.86061682574972,1.9595519258238603,0.009538006854407234,3,106.14285714285714,101.07142857142857,54.87619986283918,1.5730511103960887,-0.006556003943322106,22.02307933956872
2400,12.0,13,2,88.78571428571429,114.42857142857143,56.361747803933405,2.1345075424977047,0.10312972765159349,3,106.07142857142857,100.78571428571429,54.023287028450646,1.717259325738758,-0.005374012251561716,22.02097793895073
2420,12.1,17,2,88.57142857142857,114.28571428571429,58.6932211107128,2.2085178333914723,0.06889511530172553,6,72.33333333333333,43.0,53.507545265320196,1.4907119849998596,-0.02309742429081501,58.9931007918984
2440,12.200000000000001,18,2,88.55555555555556,114.11111111111111,71.89992996303516,2.163102481547976,0.02728223260718586,6,72.0,43.0,58.37904675906829,1.6903085094570331,-0.02238463980690861,59.24889955742159
2460,12.3,20,2,88.8125,114.125,66.4312044659508,2.266433045558593,0.04069787726394205,27,50.84615384615385,93.07692307692308,54.19912473502033,1.893620557706334,-0.004486091823726286,43.4104248128653
2480,12.4,21,2,88.625,114.0625,68.35337730791852,2.2176493749012716,0.01405676458315904,27,50.93333333333333,93.46666666666667,61.02132698788645,2.043961295567452,-0.019726975270924138,42.95171808910042
2500,12.5,20,2,88.8125,114.25,70.08425987042285,2.1423920626253263,0.06935654704113538,24,35.30769230769231,115.38461538461539,58.25928057613304,1.794139044567785,-0.002620494934627619,53.51683658683344
2520,12.6,18,27,50.666666666666664,94.88888888888889,72.25661064499003,2.705732369307982,0.05571101872320513,2,88.93333333333334,114.06666666666666,66.31545520713982,2.030872828230376,0.020758742164679527,42.80332858869279
2540,12.700000000000001,18,27,50.625,94.625,67.8171103286894,2.6634094690828145,0.06938353185072221,24,35.285714285714285,115.14285714285714,64.86650415025917,1.8238779049719578,-0.12564911502792117,25.61788726572087
2560,12.8,14,27,50.625,94.625,69.4982863852518,2.6634094690828145,0.06849851834217013,24,35.06666666666667,115.2,68.16251258841211,1.9550504398153572,-0.12669494132373052,25.795200350280496
