L,E1,E_ov,E_sep,dE,V1,V_ov,V_sep,dV,N1,N_ov,N_sep
2,29.11814540725723,56.98159818473836,55.18595654241855,1.7956416423198078,6.040650700770327,11.329997876150747,10.993418017422623,0.3365798587281237,1.5101626751925812,2.832499469037687,2.7483545043556568
3,36.8737384848047,89.2771221691579,80.33867545271943,8.938446716438477,8.210309494273805,18.34567488838994,16.674259419269468,1.671415469120472,2.052577373568451,4.586418722097484,4.168564854817367
4,34.17658919722537,91.964021553135,73.3620370811808,18.601984471954196,8.643903543539615,19.920506913195446,16.323418053829677,3.597088859365769,2.160975885884902,4.9801267282988615,4.080854513457419
5,28.62857000473333,87.83269481317744,70.9690603780684,16.863634435109034,8.717625685331853,20.299122874402677,17.089583982916952,3.2095388914857246,2.1794064213329625,5.074780718600668,4.272395995729239
6,20.859221458548884,79.24968836275384,55.816778283863826,23.432910078890018,8.698510665281509,20.138058033526452,15.653023485149065,4.485034548377387,2.1746276663203767,5.034514508381611,3.9132558712872663
7,12.129808408618446,71.34002500584289,51.06561863005716,20.27440637578573,8.72112530440331,20.313117635070558,16.43040470453743,3.8827129305331276,2.180281326100829,5.078279408767641,4.107601176134358
8,1.358182240529324,59.745558985085424,40.476708218795395,19.26885076629003,8.698646352820402,20.138600778251476,16.530646412494725,3.6079543657567505,2.174661588205102,5.034650194562865,4.13266160312368
