frame_index,time,x,y,radius,mass,peak_rho,mean_rho,area,n_pixels
760,3.8000000000000003,47.0,166.375,2.117634293262177,14.755795202709589,2.1673093762925313,1.8444744003386986,8.0,8
780,3.9,47.0,166.375,2.117634293262177,14.695131445601831,2.100173606234632,1.8368914307002289,8.0,8
800,4.0,47.0,166.375,2.117634293262177,14.484840764307613,2.1262513966856638,1.8106050955384516,8.0,8
1060,5.3,46.375,165.75,2.1028254801575903,16.974508903138158,2.417390047060146,2.1218136128922698,8.0,8
2000,10.0,158.875,82.375,1.5309310892394863,26.387754054401483,3.939741308980696,3.2984692568001854,8.0,8
2020,10.1,158.875,82.375,1.5309310892394863,27.52896788783677,4.173088231239655,3.4411209859795964,8.0,8
2040,10.200000000000001,158.88888888888889,82.11111111111111,1.6254154264808662,31.328445282970765,4.3726493181123045,3.4809383647745293,9.0,9
2060,10.3,158.875,81.875,1.571225636247067,29.53950654191885,4.461240934812937,3.6924383177398563,8.0,8
2080,10.4,158.875,81.875,1.571225636247067,30.33410071828239,4.560008643567058,3.7917625897852987,8.0,8
2100,10.5,30.75,21.25,1.3693063937629153,26.267796686301963,4.537228403926228,3.2834745857877454,8.0,8
2100,10.5,158.875,81.875,1.571225636247067,30.930957714276964,5.046198534913968,3.8663697142846205,8.0,8
2100,10.5,112.75,177.875,1.243734296383275,26.1888105370383,3.8048223612277883,3.2736013171297875,8.0,8
2120,10.6,158.45454545454547,81.81818181818181,1.6614242620451876,40.46615235633268,5.106675921733845,3.6787411233029705,11.0,11
2120,10.6,112.75,178.125,1.243734296383275,26.82627824656662,3.9592093695053916,3.3532847808208275,8.0,8
2140,10.700000000000001,91.4,58.0,1.9078784028338915,31.717789196244937,3.96097246402318,3.1717789196244937,10.0,10
2140,10.700000000000001,158.45454545454547,81.81818181818181,1.6614242620451876,40.97181361887536,4.56058674477353,3.724710328988669,11.0,11
2140,10.700000000000001,1.0,179.25,1.1989578808281798,32.82753158421136,5.484246297875203,4.10344144802642,8.0,8
2160,10.8,184.625,28.625,1.571225636247067,28.672817822297425,4.499842305750585,3.584102227787178,8.0,8
2160,10.8,91.44444444444444,58.22222222222222,1.8790593916986402,30.335675089357114,3.9632708832318344,3.3706305654841238,9.0,9
2160,10.8,41.75,66.625,1.4737282653189494,27.759847865401408,3.8708217446776696,3.469980983175176,8.0,8
2160,10.8,158.3,81.9,1.6431676725154984,38.11520542675653,4.621598954010203,3.811520542675653,10.0,10
2160,10.8,1.0,179.25,1.1989578808281798,34.28392265177796,5.470272956822836,4.285490331472245,8.0,8
2180,10.9,31.25,21.0,1.299038105676658,33.341863583179304,5.245241591658844,4.167732947897413,8.0,8
2180,10.9,184.77777777777777,28.666666666666668,1.547598697464902,34.38698004443397,4.771574393826118,3.820775560492663,9.0,9
2180,10.9,91.66666666666667,57.77777777777778,1.8121673811444545,31.742983407736535,4.06994149303079,3.5269981564151704,9.0,9
2180,10.9,41.888888888888886,66.44444444444444,1.531560972454469,33.110392801100346,4.436618592218125,3.678932533455594,9.0,9
2180,10.9,158.5625,81.9375,1.7831678272108882,56.10671887699745,4.71304930356538,3.5066699298123405,16.0,16
2180,10.9,129.875,140.625,1.2624381172952597,32.35999492471127,5.088497078701418,4.044999365588909,8.0,8
2180,10.9,10.375,173.75,1.192424001771182,29.552948542554418,4.349303653098136,3.6941185678193023,8.0,8
2180,10.9,1.0,179.25,1.1989578808281798,34.44858307862911,5.418419057714462,4.306072884828639,8.0,8
2200,11.0,31.636363636363637,21.363636363636363,1.6812038189915388,44.92663100337753,5.250800794008383,4.08423918212523,11.0,11
2200,11.0,184.77777777777777,28.666666666666668,1.547598697464902,36.71368725428301,5.094295147806959,4.079298583809223,9.0,9
2200,11.0,15.75,44.625,1.4737282653189494,29.911380921188492,4.7145238467697075,3.7389226151485615,8.0,8
2200,11.0,92.0,57.916666666666664,2.0190069065976197,42.543193922497146,4.23638804308334,3.5452661602080955,12.0,12
2200,11.0,182.0,59.0,1.7638342073763937,30.94037891479365,3.919211675441075,3.4378198794215167,9.0,9
2200,11.0,41.81818181818182,66.27272727272727,1.471492186930786,41.57135010756594,5.027000825970114,3.779213646142358,11.0,11
2200,11.0,158.41176470588235,82.0,1.848968664176672,59.56931924385092,4.533882038036479,3.504077602579466,17.0,17
2200,11.0,129.875,140.625,1.2624381172952597,32.51453931608298,5.0705960830363805,4.064317414510373,8.0,8
2200,11.0,10.222222222222221,173.88888888888889,1.2668615834434866,32.60528342999591,4.311795291419834,3.622809269999545,9.0,9
2200,11.0,18.428571428571427,188.92857142857142,2.1771072363040243,46.131519813657114,4.0757199699844175,3.2951085581183652,14.0,14
2220,11.1,31.636363636363637,21.363636363636363,1.6812038189915388,47.83670063590389,6.353956598244451,4.348790966900354,11.0,11
2220,11.1,184.8,28.9,1.6278820596099706,40.71645580127735,5.297612903045727,4.0716455801277345,10.0,10
2220,11.1,92.0,58.0,1.9611613513818404,47.23679108723181,4.265315664028126,3.6335993144024465,13.0,13
2220,11.1,182.0,59.0,1.7638342073763937,31.906687740675498,4.202787817602737,3.545187526741722,9.0,9
2220,11.1,41.54545454545455,66.36363636363636,1.4545454545454546,44.322288931658036,5.174730223326585,4.029298993787094,11.0,11
2220,11.1,158.26666666666668,82.0,1.7688665548562132,54.15596542290824,4.56716611918472,3.6103976948605494,15.0,15
2220,11.1,129.875,140.625,1.2624381172952597,32.22319578379838,5.204562267800291,4.027899472974798,8.0,8
2220,11.1,10.4,173.9,1.3152946437965904,35.99515795187997,4.30066077043016,3.5995157951879966,10.0,10
2220,11.1,112.0,178.22222222222223,1.5475986974649023,35.881836210738776,5.530186998431486,3.9868706900820863,9.0,9
2220,11.1,18.23076923076923,188.84615384615384,2.1122354181147664,44.887920538865956,4.181227589360097,3.4529169645281503,13.0,13
2240,11.200000000000001,31.636363636363637,21.363636363636363,1.6812038189915388,49.55633259916295,6.695527926702539,4.50512114537845,11.0,11
2240,11.200000000000001,184.58333333333334,29.0,1.6051133570215186,47.41523516528532,5.406459535229695,3.95126959710711,12.0,12
2240,11.200000000000001,16.125,44.75,1.243734296383275,28.414846450493535,4.461440125457742,3.551855806311692,8.0,8
2240,11.200000000000001,92.0,57.92307692307692,1.9399261866028448,48.78443255273812,4.998304408275159,3.752648657902932,13.0,13
2240,11.200000000000001,182.33333333333334,58.833333333333336,1.8782379449307742,41.12378762872419,4.101190513453011,3.4269823023936823,12.0,12
2240,11.200000000000001,41.54545454545455,66.36363636363636,1.4545454545454546,46.634684717709106,5.072398260686253,4.23951679251901,11.0,11
2240,11.200000000000001,158.8181818181818,82.27272727272727,1.7533910474532646,42.08267251027575,4.754197484192375,3.825697500934159,11.0,11
2240,11.200000000000001,112.125,88.625,1.4469796128487782,26.46492100555335,3.8337006176599013,3.3081151256941688,8.0,8
2240,11.200000000000001,155.0,103.5,1.6583123951777,26.42382090843977,3.770402929323349,3.302977613554971,8.0,8
2240,11.200000000000001,10.363636363636363,173.72727272727272,1.3726971700492272,39.434517044757996,4.410613904052668,3.5849560949779997,11.0,11
2240,11.200000000000001,55.5,175.5,1.2247448713915892,27.919396001261966,3.8587322032416935,3.4899245001577457,8.0,8
2240,11.200000000000001,112.18181818181819,178.0909090909091,1.5534552264213692,41.862123863958175,5.21444744943512,3.805647623996198,11.0,11
2240,11.200000000000001,18.071428571428573,188.71428571428572,2.167712986499074,49.34358598021265,4.13720017368012,3.524541855729475,14.0,14
2260,11.3,31.636363636363637,21.454545454545453,1.6313053131751236,52.66599140216896,6.4280879196887515,4.787817400197178,11.0,11
2260,11.3,184.84615384615384,28.923076923076923,1.6317848796612635,51.96081556189427,5.087623604936001,3.9969858124534055,13.0,13
2260,11.3,16.375,44.75,1.192424001771182,27.91666800594597,4.13291554271812,3.489583500743246,8.0,8
2260,11.3,92.0,57.733333333333334,1.9136933459209766,56.856440016755535,6.054679071101852,3.790429334450369,15.0,15
2260,11.3,182.42857142857142,58.857142857142854,1.795686441425219,47.12786498397139,4.00350977336817,3.366276070283671,14.0,14
2260,11.3,41.54545454545455,66.36363636363636,1.4545454545454546,47.8877742600013,4.965766416363871,4.353434023636482,11.0,11
2260,11.3,158.6153846153846,82.23076923076923,1.7405705383053476,48.079282351494165,4.83986132342499,3.69840633473032,13.0,13
2260,11.3,112.125,88.625,1.4469796128487782,26.005363858579756,3.8127647995151,3.2506704823224695,8.0,8
2260,11.3,42.55555555555556,136.33333333333334,1.7708197167232473,28.790938417572075,3.758734175945784,3.198993157508008,9.0,9
2260,11.3,100.75,141.625,1.4737282653189494,29.0989561903479,4.542883193475379,3.6373695237934873,8.0,8
