M,M_abs,E_Ising,E_defrag,E_total,E_bind,n_walls,var_M,Phi_max,Phi_var,sweep
0.59228515625,0.59228515625,-2792.0,1030.3430373163064,-1761.6569626836936,-1030.3430373163062,1213,0.6491982936859131,10.682110663796502,16.82281630655946,0
0.0029296875,0.0029296875,-7724.0,174381.89262702846,166657.89262702846,-174381.89262702846,130,0.9999914169311523,128.26016570927857,8721.37030857932,100
0.0,0.0,-7724.0,174440.06998669304,166716.06998669304,-174440.06998669304,128,1.0,128.0632810816183,8724.046552361218,200
-0.0009765625,0.0009765625,-7732.0,174389.52557521005,166657.52557521005,-174389.52557521008,129,0.9999990463256836,128.23140525765194,8721.588150184163,300
0.001953125,0.001953125,-7724.0,174414.22333949662,166690.22333949662,-174414.22333949665,128,0.9999961853027344,128.29911221165622,8722.824925979061,400
0.0009765625,0.0009765625,-7724.0,174380.9889107101,166656.9889107101,-174380.9889107101,130,0.9999990463256836,128.06566842925474,8721.343118872272,500
0.0,0.0,-7736.0,174445.24526877113,166709.24526877113,-174445.24526877113,128,1.0,128.30281025337837,8724.182733202924,600
0.00048828125,0.00048828125,-7752.0,174452.48003544915,166700.48003544915,-174452.48003544915,128,0.9999996423721313,128.35164448333873,8724.269976065174,700
-0.0009765625,0.0009765625,-7716.0,174382.33191378228,166666.33191378228,-174382.33191378228,128,0.9999990463256836,128.08335278416203,8721.370143884533,800
0.0,0.0,-7720.0,174410.89177080075,166690.89177080075,-174410.89177080075,128,1.0,128.1524400280434,8722.692933296386,900
0.0009765625,0.0009765625,-7732.0,174419.99856978696,166687.99856978696,-174419.99856978696,128,0.9999990463256836,128.39712148110797,8722.946747092526,1000
-0.00341796875,0.00341796875,-7712.0,174353.6830976673,166641.6830976673,-174353.6830976673,130,0.9999881982803345,128.22405697896812,8720.139255200062,1100
-0.00146484375,0.00146484375,-7732.0,174411.04105620534,166679.04105620534,-174411.04105620534,129,0.9999977350234985,128.03634856696303,8722.693016809377,1200
0.00048828125,0.00048828125,-7720.0,174407.33921076753,166687.33921076753,-174407.33921076753,129,0.9999996423721313,128.07781430427934,8722.628924427954,1300
-0.00244140625,0.00244140625,-7736.0,174443.18113111408,166707.18113111408,-174443.18113111408,128,0.9999939203262329,128.1693241899217,8723.994609584643,1400
0.00146484375,0.00146484375,-7728.0,174440.30048915488,166712.30048915488,-174440.30048915488,128,0.9999977350234985,128.18033252229876,8724.000462885555,1500
-0.00048828125,0.00048828125,-7736.0,174417.03848070162,166681.03848070162,-174417.0384807016,128,0.9999996423721313,128.1956142983812,8722.86235055968,1600
-0.0009765625,0.0009765625,-7708.0,174354.13488906785,166646.13488906785,-174354.13488906785,129,0.9999990463256836,128.17378802225207,8720.101627423363,1700
0.00146484375,0.00146484375,-7732.0,174442.0796208928,166710.0796208928,-174442.07962089276,128,0.9999977350234985,128.18597472500073,8724.054762122076,1800
0.00146484375,0.00146484375,-7732.0,174443.46999633318,166711.46999633318,-174443.46999633318,128,0.9999977350234985,128.30958706268171,8724.135076271374,1900
0.0,0.0,-7716.0,174439.59091984475,166723.59091984475,-174439.59091984475,128,1.0,128.06539377189011,8724.039702283691,2000
