time,a0_re,a0_im,ak_re,ak_im,ak_abs
0.0,0.9993750976494686,-1.9154238380577242e-18,-5.088522196198634e-17,0.024992188313759676,0.024992188313759676
0.05,0.999062808560098,-0.024981800442076988,-0.0006187191250604697,0.024984528482522094,0.024992188316545497
0.1,0.9981261288263741,-0.0499481405749172,-0.0012370570806508826,0.024961553812199527,0.024992188358367525
0.15,0.9965656209812059,-0.07488356851924216,-0.0018546329478283932,0.024923278769889017,0.02499218853987724
0.2,0.9943822223450516,-0.09977264925745455,-0.002471066308486153,0.0248697274571753,0.024992189029677137
0.25,0.9915772446735723,-0.12459997306885068,-0.0030859774952257343,0.02480093359476753,0.02499219006556065
0.3,0.9881523736628455,-0.14935016396996897,-0.00369898784057574,0.024716940500995016,0.024992191956178134
0.35000000000000003,0.9841096683106302,-0.17400788816160312,-0.004309719925341286,0.02461780106416636,0.02499219508306051
0.4,0.9794515601317931,-0.19855786248385354,-0.00491779782586878,0.024503577708798185,0.02499219990291433
0.45,0.9741808522255857,-0.22298486288039696,-0.005522847360014429,0.02437434235572055,0.024992206950085284
0.5,0.9683007181920964,-0.2472737328729257,-0.006124496331605639,0.024230176376068384,0.024992216839072785
0.55,0.9618147008948396,-0.271409392046444,-0.006722374773187837,0.02407117053916952,0.02499223026696447
0.6,0.9547267110661022,-0.29537684454581015,-0.007316115186852637,0.02389742495434269,0.024992248015649504
0.65,0.9470410257513564,-0.319161187583588,-0.00790535278294541,0.023709049006619784,0.02499227095365928
0.7000000000000001,0.9387622865887602,-0.342747619958906,-0.008489725716455895,0.023506161286410587,0.024992300037479553
0.75,0.929895497919511,-0.36612145058664314,-0.009068875320897484,0.02328888951312905,0.024992336312172087
0.8,0.9204460247245873,-0.3892681070358418,-0.009642446339487161,0.02305737045280489,0.024992380911145088
0.85,0.9104195903832224,-0.4121731440758185,-0.010210087153441216,0.022811749829705262,0.024992435054910587
0.9,0.8998222742482984,-0.43482225222798226,-0.010771450007207941,0.022552182231996537,0.024992500048673805
0.9500000000000001,0.8886605090337232,-0.457201266320901,-0.011326191230462983,0.022278831011478015,0.024992577278604364
1.0,0.8769410780087721,-0.4792961740456647,-0.011873971456699167,0.021991868177424944,0.024992668206650973
1.05,0.8646711119943352,-0.501093124508094,-0.012414455838247917,0.021691474284580303,0.02499277436377195
1.1,0.851858086156001,-0.5225784367738338,-0.012947314257575528,0.021377838315341284,0.024992897341470685
1.1500000000000001,0.8385098165889545,-0.5437386084018512,-0.013472221534704109,0.02105115755618886,0.0249930387815414
1.2,0.8246344566897426,-0.5645603239613454,-0.013988857630612117,0.02071163746841549,0.024993200363951133
1.25,0.8102404933100811,-0.5850304635265475,-0.01449690784647806,0.020359491553209774,0.024993383792805995
1.3,0.7953367426880484,-0.605136111143382,-0.014996063018635195,0.01999494121116268,0.024993590780372672
1.35,0.7799323461522123,-0.6248645632614508,-0.015486019709113707,0.01961821559626582,0.024993823029153137
1.4000000000000001,0.7640367655944882,-0.6442033371242971,-0.015966480391652424,0.019229551464477055,0.024994082212035574
1.45,0.7476597787078173,-0.6631401791104238,-0.016437153633069745,0.018829193016935752,0.024994369950574073
1.5,0.7308114739850846,-0.6816630730170795,-0.01689775426989032,0.01841739173791515,0.024994687791477246
1.55,0.7135022454760622,-0.6997602482783569,-0.017348003580130243,0.017994406227606095,0.02499503718141505
1.6,0.6957427872995801,-0.7174201881087462,-0.01778762945015163,0.017560502029832423,0.024995419440282458
1.6500000000000001,0.6775440879085598,-0.7346316375628598,-0.018216366536503242,0.017115951454805586,0.024995835733087553
1.7,0.6589174241060387,-0.7513836115016905,-0.018633956422671044,0.016661033397031205,0.02499628704065851
1.75,0.6398743548108063,-0.7676654024554153,-0.01904014777066973,0.016196033148488675,0.024996774129392847
1.8,0.6204267145718368,-0.7834665883724461,-0.019434696467411725,0.015721242207210512,0.02499729752029613
1.85,0.6005866068312556,-0.7987770402441656,-0.019817365765797762,0.015236958081394542,0.024997857457581995
1.9000000000000001,0.5803663969361771,-0.8135869295945427,-0.020187926420478928,0.014743484089190479,0.02499845387712776
1.95,0.559778704900372,-0.8278867358236357,-0.020546156818245974,0.014241129154307338,0.02499908637509815
2.0,0.5388363979173572,-0.8416672533938374,-0.020891843103007644,0.013730207597595686,0.02499975417706667
2.05,0.5175525826271516,-0.8549195988476093,-0.021224779295326332,0.01321103892476472,0.025000456107978547
2.1,0.4959405971396144,-0.8676352176453888,-0.02154476740648284,0.01268394761040173,0.0250011905633084
2.15,0.4740140028179482,-0.8798058908123385,-0.021851617547049715,0.012149262878466337,0.025001955481774047
2.2,0.45178657582664744,-0.8914237413826372,-0.02214514802995507,0.011607318479439388,0.025002748319969906
2.25,0.4292722984488433,-0.9024812406300923,-0.02242518546802569,0.011058452464311147,0.0250035660292843
2.3000000000000003,0.40648535017868886,-0.9129712140739742,-0.022691564866000432,0.010503006955600304,0.025004405035459126
2.35,0.38344009859511147,-0.9228868472491591,-0.022944129707010995,0.009941327915599792,0.025005261221143604
2.4,0.360151090023924,-0.9322216912298756,-0.02318273203352958,0.009373764912052131,0.02500612991178079
2.45,0.3366330399959577,-0.9409696678966332,-0.023407232522786578,0.00880067088145969,0.025007005865148473
2.5,0.31290082350951914,-0.9491250749362155,-0.02361750055666581,0.008222401890242283,0.0250078832648581
2.5500000000000003,0.28896946510610766,-0.956682590564994,-0.02381341428608603,0.007639316893957481,0.025008755718089422
2.6,0.2648541287689311,-0.963637277966216,-0.023994860689881145,0.007051777494803264,0.025009616257812062
