time,ak_re,ak_im,ak_abs
0.0,-4.85722573273506e-17,0.024992188313759676,0.024992188313759676
0.05,-4.630387719446159e-05,0.021855344214254252,0.021855393265109192
0.1,-0.0003749602552684788,0.01323594148262252,0.013241251531650573
0.15,-0.0011229014742486637,0.001312909739905225,0.0017276109822549255
0.2,-0.002191406750167064,-0.010895322424969489,0.01111351943754636
0.25,-0.003249001120117406,-0.020308158714210326,0.02056641239108272
0.3,-0.0038321243153103778,-0.024575546938134518,0.02487252870289722
0.35000000000000003,-0.003511878301551997,-0.02266482465557881,0.022935290839076902
0.4,-0.002072451997836217,-0.015104033694350785,0.015245553158984395
0.45,0.00035912289459741223,-0.0038404373772316135,0.0038571917896134825
0.5,0.0032844751333540416,0.00825624434806408,0.008885569629267509
0.55,0.005932621873232073,0.01813511297124386,0.019080836584660775
0.6,0.007466795505013395,0.023349941348355635,0.02451474650257139
0.65,0.007239129744729858,0.02266787820683176,0.023795749659567166
0.7000000000000001,0.005018069842851991,0.016353273204119265,0.017105863598085476
0.75,0.0011200327708847293,0.006078962814333046,0.00618128322485709
0.8,-0.0036068216950067016,-0.0055102312570530386,0.006585727844800097
0.85,-0.007964849899931542,-0.015484871379106369,0.017413215543256422
0.9,-0.010716956780506898,-0.021387503285993703,0.023922342264996635
0.9500000000000001,-0.0109362477586082,-0.021843764162518788,0.024428498681364003
1.0,-0.008295996841136332,-0.016874534350293006,0.018803549482141996
1.05,-0.003220064594376502,-0.007855575895518569,0.008489928659429918
1.1,0.003159830002967203,0.0028545569796111373,0.004258288529150928
1.1500000000000001,0.009253850136001515,0.012534016480249405,0.015579965066287501
1.2,0.013418847654719958,0.018803991351724957,0.0231009861940206
1.25,0.014404971797564033,0.02022117288961205,0.024827384991581304
1.3,0.0117185539032168,0.016602775155029916,0.020321826896986313
1.35,0.005806623318360308,0.009026128910196801,0.010732561551876428
1.4000000000000001,-0.001993926194314527,-0.00047951802674907107,0.002050775269587318
1.45,-0.009754934356020806,-0.009475327760298417,0.013599286027411766
1.5,-0.015443289102094587,-0.015750648601310806,0.022058515581354233
1.55,-0.01746123134813284,-0.01787546579835074,0.02498853492506161
1.6,-0.015088595037126562,-0.015520281890605388,0.021645896843472526
1.6500000000000001,-0.008714383618585104,-0.009483691772247883,0.01287947559036728
1.7,0.00020476155329493596,-0.0014431115853781853,0.0014575658961297408
1.75,0.0094722166751293,0.0065060535457587216,0.011491371610076719
1.8,0.016702087007837985,0.012405165643054267,0.020804995675294057
1.85,0.019944722466352642,0.014924436069450408,0.02491045455729269
