L,N_sites,T,g_defrag,mu,use_yukawa,walls,M_mean,lambda_stripe,lambda_over_L,E_ising,E_defrag_total,E_defrag_grad,E_grad_ratio,E_total,E_defrag_per_site,E_defrag_per_L,E_defrag_per_wall,Phi_mean,Phi_std,Phi_max,s_std,grad_Phi_mean,grad_Phi_max,case
32,1024,1.0,0.5,0.0,False,1022,0.001953125,1.4142135623730951,0.04419417382415922,2040.0,13.442626714061142,0.7144922328043085,0.053151236585104414,2053.442626714061,0.013127565150450334,0.4200820848144107,0.013153255101821078,6.938893903907228e-18,0.1341581974557853,0.9976910075049868,0.9999980926495482,0.03362241463439773,0.2934323536261509,unscreened
48,2304,1.0,0.5,0.0,False,140,-0.0008680555555555555,48.0,1.0,-4048.0,27339.319849199623,27176.891060818423,0.9940587845902116,23291.319849199623,11.866024240104004,569.5691635249922,195.2808560657116,-9.868649107779169e-17,52.32116943639352,71.78832341133568,0.9999996232397054,5.965869818744808,11.372626120015163,unscreened
64,4096,1.0,0.5,0.0,False,120,0.0009765625,64.0,1.0,-7712.0,87218.53024658667,86914.61334120785,0.9965154548635528,79506.53024658667,21.293586485983074,1362.7895351029167,726.8210853882223,1.3444106938820255e-16,93.40212147883285,128.0261065597924,0.9999995231627281,7.979832798474767,15.418928313811522,unscreened
96,9216,1.0,0.5,0.0,False,97,0.00021701388888888888,96.0,1.0,-18044.0,442547.5098572328,441676.1322857052,0.9980309965549039,424503.5098572328,48.01947806610599,4609.869894346175,4562.345462445699,1.578983857244667e-14,210.36119092489682,288.0006348041075,0.9999999764524858,11.995080331379189,23.797334968121405,unscreened
