time,E_tot
0.0,13.655436015517278
0.1,13.655187658044605
0.2,13.654570960389448
0.3,13.653628448041347
0.4,13.652425404166499
0.5,13.651042052988844
0.6,13.649564245159606
0.7000000000000001,13.64807405344468
0.8,13.646641655195152
0.9,13.645319611930875
1.0,13.644140190003885
1.1,13.64311578211798
1.2,13.642241912771048
1.3,13.641501881574131
1.4000000000000001,13.640871926802154
1.5,13.64032591323727
1.6,13.63983890419526
1.7,13.639389429895777
1.8,13.638960648141051
1.9000000000000001,13.63854078250826
2.0,13.638123182224755
2.1,13.637706143924497
2.2,13.637292405433369
2.3000000000000003,13.63688810658876
2.4,13.636501089634391
2.5,13.636138658632017
2.6,13.6358052187955
2.7,13.635500419239325
2.8000000000000003,13.635218405989768
2.9,13.63494852657435
3.0,13.634677391541691
3.1,13.634391748318347
3.2,13.634081329698686
3.3000000000000003,13.633740819160673
3.4,13.633370344167973
3.5,13.632974377842457
3.6,13.632559440291713
3.7,13.632131373592639
3.8000000000000003,13.631693096160696
3.9,13.631243585081082
4.0,13.630778443201038
4.1,13.630291906023146
4.2,13.629779686039615
4.3,13.629241776995098
4.4,13.628684329918121
4.5,13.628119970274104
4.6000000000000005,13.627566374926422
4.7,13.627043433615246
4.8,13.626569728089484
4.9,13.626159247431934
5.0,13.625819165667021
5.1000000000000005,13.6255491733529
5.2,13.62534239417282
5.3,13.6251874851633
5.4,13.625071252340115
5.5,13.624981081999294
5.6000000000000005,13.624906671976476
5.7,13.624840851518941
5.8,13.624779577550209
5.9,13.624721386915116
6.0,13.62466662848724
6.1000000000000005,13.624616723479566
6.2,13.624573576259735
6.3,13.624539150494737
6.4,13.624515171397727
6.5,13.62450290658265
6.6000000000000005,13.624502984431254
6.7,13.624515206725182
6.8,13.62453830764335
6.9,13.624569634962054
7.0,13.624604808364436
7.1000000000000005,13.624637533051853
7.2,13.624659851529053
7.3,13.624663110929609
7.4,13.624639740899033
7.5,13.624585592578487
7.6000000000000005,13.624502201659713
7.7,13.624398097038961
7.8,13.624288355533182
7.9,13.624192062800514
8.0,13.624128067432927
8.1,13.624110140839187
8.2,13.624143059569244
8.3,13.624220982705564
8.4,13.624328793758808
8.5,13.624446050757868
8.6,13.624552241421243
8.700000000000001,13.624631569906484
8.8,13.624675720511705
8.9,13.624683873839677
9.0,13.624660346784541
9.1,13.624611124311228
9.200000000000001,13.62454087148922
9.3,13.62445164020234
9.4,13.624343608603802
9.5,13.624217223797622
9.6,13.624075496868176
9.700000000000001,13.623925186735327
9.8,13.623776178284732
9.9,13.623639218963918
10.0,13.623522918499265
