time,E_matter,E_gauge,E_total
0.0,10.05090424381724,0.0,10.05090424381724
0.2,10.051192338797815,0.044393277397691264,10.095585616195507
0.4,10.051852833248525,0.17775625661572275,10.229609089864248
0.6,10.052578690188628,0.4006328192851416,10.45321150947377
0.8,10.053061338193299,0.7139193796553147,10.766980717848613
1.0,10.052991083000961,1.1188593298020568,11.171850412803018
1.2,10.052057709568288,1.617040375064003,11.66909808463229
1.4000000000000001,10.049951276166723,2.2103948566629548,12.260346132829678
1.6,10.046363099921962,2.901203227676595,12.947566327598556
1.8,10.04098693054031,3.692100920466013,13.733087851006323
2.0,10.033520305886842,4.5860889188038705,14.619609224690713
2.2,10.023666079643728,5.586548426828912,15.61021450647264
2.4,10.011134107563723,6.697260110177577,16.7083942177413
2.6,9.995643074944471,7.922428472950404,17.918071547894876
2.8000000000000003,9.976922444000342,9.266712028473364,19.24363447247371
3.0,9.954714495931674,10.735260023258071,20.689974519189747
3.2,9.928776438827956,12.3337565835851,22.262533022413056
3.4,9.898882549239236,14.06847327452111,23.967355823760347
3.6,9.864826312455858,15.946331194145658,25.811157506601518
3.8000000000000003,9.826422524391191,17.97497387401946,27.801396398410652
4.0,9.78350931659174,20.162852423768268,29.946361740360008
4.2,9.735950065410389,22.519324547056893,32.25527461246728
4.4,9.6836351468508,25.0547692729382,34.738404419789
4.6000000000000005,9.626483500071096,27.780719496231608,37.4072029963027
4.8,9.564443965033904,30.71001470989706,40.27445867493096
5.0,9.497496363279268,33.85697664919364,43.35447301247291
5.2,9.425652295210682,37.23761096099026,46.66326325620094
5.4,9.348955632518075,40.86983847276292,50.218794105281
5.6000000000000005,9.267482690278072,44.77376017725552,54.04124286753359
5.8,9.181342069706456,48.9719606853564,58.15330275506285
6.0,9.09067416930558,53.48985564886455,62.58052981817013
6.2,8.995650369053637,58.356089536925154,67.35173990597879
6.4,8.896471899124297,63.60299118904669,72.49946308817098
6.6000000000000005,8.79336841121167,69.26709579210917,78.06046420332085
6.8,8.686596276690631,75.38974337214088,84.07633964883152
7.0,8.576436641413778,82.01776559358731,90.59420223500109
7.2,8.463193271813063,89.20427466652603,97.6674679383391
7.4,8.347190231052494,97.00957053205578,105.35676076310827
7.6000000000000005,8.228769427226286,105.5021852951516,113.73095472237789
7.8,8.108288078016889,114.76008718320531,122.8683752612222
8.0,7.98611613786869,124.87207022406237,132.85818636193105
8.2,7.8626337346931265,135.93936047619843,143.80199421089156
8.4,7.738228663546468,148.07747514649367,155.81570381004013
8.6,7.613293984811404,161.41837746818985,169.03167145300125
8.8,7.488225774424119,176.11297798971464,183.60120376413875
9.0,7.3634210739409305,192.33404219550624,199.69746326944718
9.200000000000001,7.239276089135335,210.27957544935086,217.5188515384862
9.4,7.116184687864808,230.17676949401465,237.29295418187945
9.6,6.994537251798628,252.28661061802478,259.2811478698234
9.8,6.874719943110184,276.90926867717445,283.7839886202846
10.0,6.7571144575648905,304.39040913309856,311.14752359066347
10.200000000000001,6.6420983511760205,335.12859800902555,341.77069636020155
10.4,6.530046051019334,369.58400323840647,376.1140492894258
10.6,6.421330695169326,408.28863663619677,414.7099673313661
10.8,6.316326996881721,451.8584303333653,458.174757330247
11.0,6.215415401366232,501.0075020916168,507.222917492983
11.200000000000001,6.118987910884214,556.5650381173477,562.684026028232
11.4,6.027456112750138,619.4953131891821,625.5227693019322
11.6,5.941262182453535,690.9214803809658,696.8627425634194
11.8,5.860893994566645,772.1539018564868,778.0147958510533
12.0,5.7869060295471435,864.7239651066872,870.5108711362343
12.200000000000001,5.7199486356722975,970.4245445282063,976.1444931638786
12.4,5.66080959810234,1091.3585378591733,1097.0193474572757
12.6,5.610474240619201,1229.9972453709356,1235.6077196115548
12.8,5.570214080817362,1389.2507855945864,1394.8209996754038
13.0,5.5417205484178,1572.5532784379236,1578.0949989863414
13.200000000000001,5.527311658658558,1783.9662042866883,1789.4935159453469
13.4,5.530260053470013,2028.304201485269,2033.834461538739
13.6,5.555328921698192,2311.2886340702007,2316.843962991899
13.8,5.609675306554884,2639.7355839488273,2645.345259255382
14.0,5.704424990606685,3021.7865127158375,3027.490937706444
14.200000000000001,5.857520591795563,3467.1916438175917,3473.0491644093872
14.4,6.099080720487057,3987.6578896789847,3993.756970399472
14.6,6.481928992258178,4597.274146996326,4603.756075988584
14.8,7.1032798154057595,5313.024986974071,5320.128266789477
15.0,8.151787004625339,6155.393846344816,6163.545633349441
15.200000000000001,10.015716566840108,7149.024669556451,7159.040386123291
15.4,13.54863384123727,8323.318568974031,8336.867202815269
15.6,20.774520479148165,9712.585463618032,9733.35998409718
15.8,36.9446858029469,11354.66699363696,11391.611679439908
16.0,77.30212184437211,13285.095944781806,13362.398066626178
16.2,192.95801643137145,15519.912574327878,15712.87059075925
16.4,587.7117135956873,18021.648249687478,18609.359963283165
16.6,2193.3036576747036,20761.7774828247,22955.081140499402
16.8,8723.700482253143,25115.554346987985,33839.25482924113
17.0,23665.384403845856,39634.47114332361,63299.85554716946
17.2,36303.41031244532,64560.70179970142,100864.11211214674
17.400000000000002,32427.045286534278,67076.35046173702,99503.3957482713
17.6,52726.94267621813,83246.0190481909,135972.96172440902
17.8,71863.08017203705,107563.97417578248,179427.05434781953
18.0,106852.4923975503,120333.87230180898,227186.36469935928
18.2,199204.88969802993,149793.37745447553,348998.26715250546
18.400000000000002,,,
18.6,,,
18.8,,,
19.0,,,
19.2,,,
19.400000000000002,,,
19.6,,,
19.8,,,
20.0,,,
20.2,,,
20.400000000000002,,,
20.6,,,
20.8,,,
21.0,,,
21.2,,,
