M,M_abs,E_Ising,E_defrag,E_total,E_bind,n_walls,var_M,Phi_max,Phi_var,sweep
0.59228515625,0.59228515625,-2792.0,845.0387787320917,-1946.9612212679083,-846.2420235348566,1213,0.16604399681091309,10.516081956693128,16.435501786294516,0
0.0,0.0,-7712.0,173910.25010202534,166198.25010202534,-173431.0472702069,128,0.95458984375,127.73668175688933,8680.189259971883,100
0.00048828125,0.00048828125,-7700.0,173960.10979310345,166260.10979310345,-173503.11129300707,128,0.9558101892471313,127.8067004441883,8683.506621974837,200
0.0,0.0,-7708.0,173970.18994266065,166262.18994266065,-173520.35679762726,128,0.95654296875,127.82534163217456,8684.230733370343,300
0.00048828125,0.00048828125,-7704.0,173943.6831453567,166239.6831453567,-173472.0664220205,128,0.9553219079971313,127.79555007676774,8682.12929513658,400
0.00244140625,0.00244140625,-7724.0,173966.52951343008,166242.52951343008,-173509.2492423853,128,0.9577575922012329,128.18701931288592,8683.669131922758,500
0.00146484375,0.00146484375,-7716.0,173913.95584962633,166197.95584962633,-173411.61397803412,128,0.9543434381484985,127.77703017604621,8679.499409730193,600
-0.0029296875,0.0029296875,-7720.0,173956.04863165438,166236.04863165438,-173492.21079828904,128,0.9570226669311523,127.90041442337647,8682.831654107682,700
0.00146484375,0.00146484375,-7720.0,173916.65489299747,166196.65489299747,-173415.08530773578,128,0.9538551568984985,127.84551094259484,8679.57983464632,800
0.0,0.0,-7712.0,173953.36671551428,166241.36671551428,-173489.36295625352,128,0.95654296875,127.70467013114894,8682.818207338347,900
-0.0009765625,0.0009765625,-7704.0,173987.16125864087,166283.16125864087,-173552.300884992,128,0.9575185775756836,127.75345560465313,8685.626019863448,1000
-0.00146484375,0.00146484375,-7684.0,173889.69605799415,166205.69605799415,-173418.55351565068,128,0.9543434381484985,128.0030790865059,8679.713421123593,1100
-0.00146484375,0.00146484375,-7720.0,173981.03629794897,166261.03629794897,-173538.69918437587,128,0.9577614068984985,127.83834314004194,8684.932514101456,1200
0.0,0.0,-7704.0,173969.28856542948,166265.28856542948,-173519.3690207444,128,0.9560546875,127.75138871073291,8684.220616403894,1300
0.0,0.0,-7732.0,173976.29634249987,166244.29634249987,-173527.41550344025,128,0.95849609375,128.00081797750434,8684.327329412525,1400
0.00048828125,0.00048828125,-7716.0,173929.31793641803,166213.31793641803,-173441.4862640932,128,0.9543453454971313,127.8049175279296,8680.803985835451,1500
-0.00048828125,0.00048828125,-7712.0,173998.58920218158,166286.58920218158,-173571.97939399234,128,0.9582515954971313,127.84464244130743,8686.409838829042,1600
0.00048828125,0.00048828125,-7724.0,174002.79801501465,166278.79801501465,-173576.20762439907,128,0.9592281579971313,128.02557714700387,8686.50423901615,1700
-0.0029296875,0.0029296875,-7728.0,174011.82601089156,166283.82601089156,-173592.09903446733,128,0.9594640731811523,128.01798605764205,8687.19453045891,1800
-0.00146484375,0.00146484375,-7708.0,173959.64603922082,166251.64603922082,-173501.65549289098,128,0.9553200006484985,127.81972488615791,8683.491186109737,1900
0.0,0.0,-7720.0,174007.63953643097,166287.63953643097,-173588.11272232104,128,0.95947265625,127.83292050455354,8687.11177833725,2000
