E_substrate,E_defrag,E_total,participation_ratio,max_rho,var_rho,norm,step,time
9290.545248700419,-267.6039735770604,8889.139288334827,5.646535882054674e-05,2.0567179502624913,0.04123369852082734,16706.035338388618,0,0.0
9237.93329018336,-232.50596046431863,8889.174349486882,5.572731932762334e-05,2.2584979370621614,0.05554929399329554,16706.035338388683,250,1.25
9480.093368931959,-393.9174162964107,8889.217244487343,5.306023180908688e-05,3.2583516502768433,0.1106021725823564,16706.035338388883,500,2.5
11015.46044108436,-1417.4808542031776,8889.239159779594,4.19064344573204e-05,8.090683121859065,0.41676534990631164,16706.035338388887,750,3.75
17677.63488940255,-5858.92491950679,8889.247510142366,1.8415138470459873e-05,15.83925321434089,2.274703864670549,16706.035338388887,1000,5.0
25616.625714650145,-11151.589156169997,8889.241980395149,1.4351764406510847e-05,20.105563713607054,3.2131007973952257,16706.035338388887,1250,6.25
35671.880928083,-17856.048026077413,8887.808888966883,1.6430191909690288e-05,20.131683131740335,2.675119709686646,16706.03533838888,1500,7.5
43516.80358922276,-23105.184742990346,8859.026474737242,1.84425941299659e-05,17.125519533056433,2.2697696851843276,16706.035338388883,1750,8.75
46270.97619187714,-25022.923701897147,8736.59063903142,2.0239091808156977e-05,16.644863127237784,1.976008986965474,16706.035338388883,2000,10.0
48091.990202671645,-26407.872625261454,8480.181264779465,2.138354051245714e-05,18.43743424618732,1.8146081589920207,16706.03533838888,2250,11.25
49068.259541061765,-27312.05270213484,8100.180487859507,2.240336519583996e-05,17.450548036594874,1.6846771808746424,16706.035338388887,2500,12.5
50189.98776119981,-28430.786483935015,7543.80803529729,2.3062003497413975e-05,20.464098410586743,1.6068705247450679,16706.035338388887,2750,13.75
50548.04572332994,-28955.709834928668,7114.4809709369365,2.3443289763280684e-05,16.51263441385631,1.5638262263353035,16706.035338388887,3000,15.0
50825.71141766265,-29124.224423358606,7139.374782624742,2.453160803401467e-05,14.317030123886319,1.4483237199544017,16706.035338388887,3250,16.25
51289.993254779925,-29230.032714900495,7444.944182429186,2.411132379771073e-05,22.015791582819972,1.4916923885420244,16706.035338388887,3500,17.5
52291.12170722521,-29421.329394588738,8159.127615342106,2.4714626417403535e-05,17.05624700592975,1.4298992624777886,16706.035338388887,3750,18.75
51463.34083339214,-28427.013723172557,8822.820248633303,2.455202533459713e-05,15.990663615023749,1.4462546982680897,16706.035338388883,4000,20.0
51665.537619759045,-28190.870967937808,9379.231167852333,2.509573331521648e-05,17.631282985569168,1.392395664954964,16706.035338388887,4250,21.25
52112.667577216096,-28074.514505891955,10000.895818378165,2.5122587183572006e-05,15.954155063913147,1.3897959683702934,16706.035338388887,4500,22.5
52376.90171684114,-27815.118401628162,10654.224114398894,2.568730760658384e-05,13.942531614891625,1.336384981013681,16706.035338388883,4750,23.75
52306.021732993366,-27409.18359768323,11192.246336468525,2.5401561956114986e-05,16.211120641884644,1.3631138560290597,16706.035338388883,5000,25.0
